filename,sample_label,experiment_label,condition,bio_rep,tech_rep
T0_NH4NO3A1_R1.fastq.gz,T0_NH4NO3A1,Nitrogen,t0,1,1
T0_NH4NO3A2_R1.fastq.gz,T0_NH4NO3A2,Nitrogen,t0,1,2
T0_NH4NO3A3_R1.fastq.gz,T0_NH4NO3A3,Nitrogen,t0,1,3
T0_NH4NO3A4_R1.fastq.gz,T0_NH4NO3A4,Nitrogen,t0,1,4
T0_NH4NO3A5_R1.fastq.gz,T0_NH4NO3A5,Nitrogen,t0,1,5
T0_NH4NO3A6_R1.fastq.gz,T0_NH4NO3A6,Nitrogen,t0,1,6
T0_NHNOA12C1_R1.fastq.gz,T0_NHNOA12C1,PCR_Cycle_Compare,t0_12c,1,1
T0_NHNOA12C2_R1.fastq.gz,T0_NHNOA12C2,PCR_Cycle_Compare,t0_12c,1,2
T1_NFRB_12C1_R1.fastq.gz,T1_NFRB_12C1,PCR_Cycle_Compare,Nfree_12c,1,1
T1_NFRB_12C2_R1.fastq.gz,T1_NFRB_12C2,PCR_Cycle_Compare,Nfree_12c,1,2
T1_NFREE_1_1_R1.fastq.gz,T1_NFREE_1_1,Nitrogen,NFREE,1,1
T1_NFREE_1_2_R1.fastq.gz,T1_NFREE_1_2,Nitrogen,NFREE,1,2
T1_NFREE_1_3_R1.fastq.gz,T1_NFREE_1_3,Nitrogen,NFREE,1,3
T1_NFREE_1_4_R1.fastq.gz,T1_NFREE_1_4,Nitrogen,NFREE,1,4
T1_NFREE_1_5_R1.fastq.gz,T1_NFREE_1_5,Nitrogen,NFREE,1,5
T1_NFREE_1_6_R1.fastq.gz,T1_NFREE_1_6,Nitrogen,NFREE,1,6
T1_NFREE_2_1_R1.fastq.gz,T1_NFREE_2_1,Nitrogen,NFREE,2,1
T1_NFREE_2_2_R1.fastq.gz,T1_NFREE_2_2,Nitrogen,NFREE,2,2
T1_NFREE_2_3_R1.fastq.gz,T1_NFREE_2_3,Nitrogen,NFREE,2,3
T1_NFREE_2_4_R1.fastq.gz,T1_NFREE_2_4,Nitrogen,NFREE,2,4
T1_NFREE_2_5_R1.fastq.gz,T1_NFREE_2_5,Nitrogen,NFREE,2,5
T1_NFREE_2_6_R1.fastq.gz,T1_NFREE_2_6,Nitrogen,NFREE,2,6
T1_NH4NO3A1_R1.fastq.gz,T1_NH4NO3A1,Nitrogen,NH4NO3,1,1
T1_NH4NO3A2_R1.fastq.gz,T1_NH4NO3A2,Nitrogen,NH4NO3,1,2
T1_NH4NO3A3_R1.fastq.gz,T1_NH4NO3A3,Nitrogen,NH4NO3,1,3
T1_NH4NO3A4_R1.fastq.gz,T1_NH4NO3A4,Nitrogen,NH4NO3,1,4
T1_NH4NO3A5_R1.fastq.gz,T1_NH4NO3A5,Nitrogen,NH4NO3,1,5
T1_NH4NO3A6_R1.fastq.gz,T1_NH4NO3A6,Nitrogen,NH4NO3,1,6
T1_NH4NO3B1_R1.fastq.gz,T1_NH4NO3B1,Nitrogen,NH4NO3,2,1
T1_NH4NO3B2_R1.fastq.gz,T1_NH4NO3B2,Nitrogen,NH4NO3,2,2
T1_NH4NO3B3_R1.fastq.gz,T1_NH4NO3B3,Nitrogen,NH4NO3,2,3
T1_NH4NO3B4_R1.fastq.gz,T1_NH4NO3B4,Nitrogen,NH4NO3,2,4
