Unique_Essental_Genes,sgRNA_List
Phatr3_J11441,Phatr3_J11441_116
Phatr3_J11441,Phatr3_J11441_193
Phatr3_J11441,Phatr3_J11441_65
Phatr3_J11441,Phatr3_J11441_603
Phatr3_J11441,Phatr3_J11441_744
Phatr3_J11441,Phatr3_J11441_1046
Phatr3_J11441,Phatr3_J11441_1783
Phatr3_J13243,Phatr3_J13243_1750
Phatr3_J13243,Phatr3_J13243_1790
Phatr3_J13243,Phatr3_J13243_1942
Phatr3_J13243,Phatr3_J13243_1463
Phatr3_J13243,Phatr3_J13243_1002
Phatr3_J13243,Phatr3_J13243_1609
Phatr3_J13243,Phatr3_J13243_1317
Phatr3_J15555,Phatr3_J15555_2082
Phatr3_J15555,Phatr3_J15555_55
Phatr3_J15555,Phatr3_J15555_1733
Phatr3_J15555,Phatr3_J15555_786
Phatr3_J15555,Phatr3_J15555_435
Phatr3_J15555,Phatr3_J15555_2593
Phatr3_J15555,Phatr3_J15555_1395
Phatr3_J19025,Phatr3_J19025_148
Phatr3_J19025,Phatr3_J19025_56
Phatr3_J19025,Phatr3_J19025_287
Phatr3_J19025,Phatr3_J19025_250
Phatr3_J19025,Phatr3_J19025_409
Phatr3_J19025,Phatr3_J19025_427
Phatr3_J19025,Phatr3_J19025_344
Phatr3_J23079,Phatr3_J23079_503
Phatr3_J23079,Phatr3_J23079_231
Phatr3_J23079,Phatr3_J23079_514
Phatr3_J23079,Phatr3_J23079_434
Phatr3_J23079,Phatr3_J23079_212
Phatr3_J23079,Phatr3_J23079_311
Phatr3_J23079,Phatr3_J23079_403
Phatr3_J25331,Phatr3_J25331_176
Phatr3_J25331,Phatr3_J25331_460
Phatr3_J25331,Phatr3_J25331_319
Phatr3_J25331,Phatr3_J25331_495
Phatr3_J25331,Phatr3_J25331_552
Phatr3_J25331,Phatr3_J25331_777
Phatr3_J25331,Phatr3_J25331_437
Phatr3_J25420,Phatr3_J25420_94
Phatr3_J25420,Phatr3_J25420_136
Phatr3_J25420,Phatr3_J25420_391
Phatr3_J25420,Phatr3_J25420_191
Phatr3_J25420,Phatr3_J25420_232
Phatr3_J25420,Phatr3_J25420_68
Phatr3_J25420,Phatr3_J25420_298
Phatr3_J25714,Phatr3_J25714_148
Phatr3_J25714,Phatr3_J25714_171
Phatr3_J25714,Phatr3_J25714_309
Phatr3_J25714,Phatr3_J25714_261
Phatr3_J25714,Phatr3_J25714_348
Phatr3_J25714,Phatr3_J25714_242
Phatr3_J25714,Phatr3_J25714_454
Phatr3_J25743,Phatr3_J25743_422
Phatr3_J25743,Phatr3_J25743_333
Phatr3_J25743,Phatr3_J25743_363
Phatr3_J25743,Phatr3_J25743_1062
Phatr3_J25743,Phatr3_J25743_1011
Phatr3_J25743,Phatr3_J25743_554
Phatr3_J25743,Phatr3_J25743_962
Phatr3_J27709,Phatr3_J27709_322
Phatr3_J27709,Phatr3_J27709_295
Phatr3_J27709,Phatr3_J27709_502
Phatr3_J27709,Phatr3_J27709_697
Phatr3_J27709,Phatr3_J27709_732
Phatr3_J27709,Phatr3_J27709_856
Phatr3_J27709,Phatr3_J27709_180
Phatr3_J29824,Phatr3_J29824_284
Phatr3_J29824,Phatr3_J29824_456
Phatr3_J29824,Phatr3_J29824_1591
Phatr3_J29824,Phatr3_J29824_189
Phatr3_J29824,Phatr3_J29824_931
Phatr3_J29824,Phatr3_J29824_1867
Phatr3_J29824,Phatr3_J29824_1596
Phatr3_J30660,Phatr3_J30660_185
Phatr3_J30660,Phatr3_J30660_296
Phatr3_J30660,Phatr3_J30660_54
Phatr3_J30660,Phatr3_J30660_526
Phatr3_J30660,Phatr3_J30660_373
Phatr3_J30660,Phatr3_J30660_154
Phatr3_J30660,Phatr3_J30660_493
Phatr3_J34538,Phatr3_J34538_106
Phatr3_J34538,Phatr3_J34538_197
Phatr3_J34538,Phatr3_J34538_356
Phatr3_J34538,Phatr3_J34538_241
Phatr3_J34538,Phatr3_J34538_399
Phatr3_J34538,Phatr3_J34538_485
Phatr3_J34538,Phatr3_J34538_317
Phatr3_J39526,Phatr3_J39526_447
Phatr3_J39526,Phatr3_J39526_596
Phatr3_J39526,Phatr3_J39526_414
Phatr3_J39526,Phatr3_J39526_570
Phatr3_J39526,Phatr3_J39526_763
Phatr3_J39526,Phatr3_J39526_512
Phatr3_J39526,Phatr3_J39526_717
Phatr3_J43016,Phatr3_J43016_562
Phatr3_J43016,Phatr3_J43016_876
Phatr3_J43016,Phatr3_J43016_1503
Phatr3_J43016,Phatr3_J43016_1111
Phatr3_J43016,Phatr3_J43016_1748
Phatr3_J43016,Phatr3_J43016_472
Phatr3_J43016,Phatr3_J43016_88
Phatr3_J43994,Phatr3_J43994_817
Phatr3_J43994,Phatr3_J43994_478
Phatr3_J43994,Phatr3_J43994_1303
Phatr3_J43994,Phatr3_J43994_838
Phatr3_J43994,Phatr3_J43994_546
Phatr3_J43994,Phatr3_J43994_1176
Phatr3_J43994,Phatr3_J43994_676
Phatr3_J48411,Phatr3_J48411_158
Phatr3_J48411,Phatr3_J48411_337
Phatr3_J48411,Phatr3_J48411_503
Phatr3_J48411,Phatr3_J48411_74
Phatr3_J48411,Phatr3_J48411_221
Phatr3_J48411,Phatr3_J48411_263
Phatr3_J48411,Phatr3_J48411_490
Phatr3_J48699,Phatr3_J48699_119
Phatr3_J48699,Phatr3_J48699_59
Phatr3_J48699,Phatr3_J48699_305
Phatr3_J48699,Phatr3_J48699_96
Phatr3_J48699,Phatr3_J48699_332
Phatr3_J48699,Phatr3_J48699_175
Phatr3_J48699,Phatr3_J48699_174
Phatr3_J50796,Phatr3_J50796_268
Phatr3_J50796,Phatr3_J50796_505
Phatr3_J50796,Phatr3_J50796_168
Phatr3_J50796,Phatr3_J50796_226
Phatr3_J50796,Phatr3_J50796_187
Phatr3_J50796,Phatr3_J50796_134
Phatr3_J50796,Phatr3_J50796_148
Phatr3_J9199,Phatr3_J9199_70
Phatr3_J9199,Phatr3_J9199_212
Phatr3_J9199,Phatr3_J9199_334
Phatr3_J9199,Phatr3_J9199_189
Phatr3_J9199,Phatr3_J9199_295
Phatr3_J9199,Phatr3_J9199_157
Phatr3_J9199,Phatr3_J9199_116
