File	Label	Reads	Mapped	Percentage	TotalsgRNAs	Zerocounts	GiniIndex	NegSelQC	NegSelQCPval	NegSelQCPvalPermutation	NegSelQCPvalPermutationFDR	NegSelQCGene
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Metals_t0_R1_t0_NH4_1_S1_L007_R1_001.fastq.gz	t0_R1	39892468	24695189	0.619	90202	18	0.04794	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Metals_t0_R1_t0_NH4_1_S1_L007_R2_001.fastq.gz	t0_R1	39516464	24473566	0.6193	90202	18	0.04801	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Metals_t0_R1_t0_NH4_2_S2_L007_R1_001.fastq.gz	t0_R1	35347343	21939988	0.6207	90202	19	0.0492	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Metals_t0_R1_t0_NH4_2_S2_L007_R2_001.fastq.gz	t0_R1	34801324	21609938	0.621	90202	19	0.04934	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Metals_t1_Fe_deplete_R1_F1_1_S45_L007_R1_001.fastq.gz	t1_Fe_deplete_R1	22080173	657634	0.02978	90202	60117	0.7719	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Metals_t1_Fe_deplete_R1_F1_1_S45_L007_R2_001.fastq.gz	t1_Fe_deplete_R1	21500093	643402	0.02993	90202	60557	0.7744	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Metals_t1_Fe_deplete_R1_F1_2_S46_L007_R1_001.fastq.gz	t1_Fe_deplete_R1	17452375	531987	0.03048	90202	61403	0.7812	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Metals_t1_Fe_deplete_R1_F1_2_S46_L007_R2_001.fastq.gz	t1_Fe_deplete_R1	16935466	518204	0.0306	90202	61822	0.7839	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Metals_t1_Fe_deplete_R2_F2_1_S47_L007_R1_001.fastq.gz	t1_Fe_deplete_R2	20260923	594629	0.02935	90202	60548	0.7743	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Metals_t1_Fe_deplete_R2_F2_1_S47_L007_R2_001.fastq.gz	t1_Fe_deplete_R2	19846085	585382	0.0295	90202	60926	0.7765	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Metals_t1_Fe_deplete_R2_F2_2_S48_L007_R1_001.fastq.gz	t1_Fe_deplete_R2	20161606	562860	0.02792	90202	60482	0.7747	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Metals_t1_Fe_deplete_R2_F2_2_S48_L007_R2_001.fastq.gz	t1_Fe_deplete_R2	19897914	557740	0.02803	90202	60906	0.7771	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Metals_t1_Fe_deplete_R3_F3_1_S49_L007_R1_001.fastq.gz	t1_Fe_deplete_R3	18894420	1502750	0.07953	90202	66460	0.8334	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Metals_t1_Fe_deplete_R3_F3_1_S49_L007_R2_001.fastq.gz	t1_Fe_deplete_R3	18501331	1477420	0.07985	90202	67003	0.8363	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Metals_t1_Fe_deplete_R3_F3_2_S50_L007_R1_001.fastq.gz	t1_Fe_deplete_R3	23224624	1329706	0.05725	90202	56540	0.7344	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Metals_t1_Fe_deplete_R3_F3_2_S50_L007_R2_001.fastq.gz	t1_Fe_deplete_R3	22577487	1297510	0.05747	90202	56862	0.7361	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Metals_t1_Fe_replete_R1_R1_1_S39_L007_R1_001.fastq.gz	t1_Fe_replete_R1	21641792	772499	0.03569	90202	60010	0.7696	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Metals_t1_Fe_replete_R1_R1_1_S39_L007_R2_001.fastq.gz	t1_Fe_replete_R1	21195253	759714	0.03584	90202	60428	0.7718	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Metals_t1_Fe_replete_R1_R1_2_S40_L007_R1_001.fastq.gz	t1_Fe_replete_R1	20107824	708665	0.03524	90202	60879	0.775	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Metals_t1_Fe_replete_R1_R1_2_S40_L007_R2_001.fastq.gz	t1_Fe_replete_R1	19801595	699209	0.03531	90202	61266	0.777	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Metals_t1_Fe_replete_R2_R2_1_S41_L007_R1_001.fastq.gz	t1_Fe_replete_R2	23034448	712994	0.03095	90202	59758	0.769	0	1	1	1	0.0
