File	Label	Reads	Mapped	Percentage	TotalsgRNAs	Zerocounts	GiniIndex	NegSelQC	NegSelQCPval	NegSelQCPvalPermutation	NegSelQCPvalPermutationFDR	NegSelQCGene
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Nitrogen_t0_R1_t0_NH4_1_S1_L007_R1_001.fastq.gz	t0_R1	39892468	24695189	0.619	90202	18	0.04794	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Nitrogen_t0_R1_t0_NH4_1_S1_L007_R2_001.fastq.gz	t0_R1	39516464	24473566	0.6193	90202	18	0.04801	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Nitrogen_t0_R1_t0_NH4_2_S2_L007_R1_001.fastq.gz	t0_R1	35347343	21939988	0.6207	90202	19	0.0492	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Nitrogen_t0_R1_t0_NH4_2_S2_L007_R2_001.fastq.gz	t0_R1	34801324	21609938	0.621	90202	19	0.04934	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Nitrogen_t1_NH4_growth_R1_t1_NH4_1_1_S3_L007_R1_001.fastq.gz	t1_NH4_growth_R1	25364229	6258866	0.2468	90202	39	0.07562	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Nitrogen_t1_NH4_growth_R1_t1_NH4_1_1_S3_L007_R2_001.fastq.gz	t1_NH4_growth_R1	24953150	6173015	0.2474	90202	36	0.07591	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Nitrogen_t1_NH4_growth_R1_t1_NH4_1_2_S4_L007_R1_001.fastq.gz	t1_NH4_growth_R1	23468125	5802480	0.2472	90202	38	0.07671	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Nitrogen_t1_NH4_growth_R1_t1_NH4_1_2_S4_L007_R2_001.fastq.gz	t1_NH4_growth_R1	23062276	5713175	0.2477	90202	36	0.07701	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Nitrogen_t1_NH4_growth_R2_t1_NH4_2_1_S5_L007_R1_001.fastq.gz	t1_NH4_growth_R2	23112187	4715071	0.204	90202	43	0.08599	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Nitrogen_t1_NH4_growth_R2_t1_NH4_2_1_S5_L007_R2_001.fastq.gz	t1_NH4_growth_R2	22727778	4651893	0.2047	90202	47	0.0864	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Nitrogen_t1_NH4_growth_R2_t1_NH4_2_2_S6_L007_R1_001.fastq.gz	t1_NH4_growth_R2	22419196	4531297	0.2021	90202	57	0.08678	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Nitrogen_t1_NH4_growth_R2_t1_NH4_2_2_S6_L007_R2_001.fastq.gz	t1_NH4_growth_R2	22068472	4473889	0.2027	90202	58	0.08707	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Nitrogen_t1_NH4_growth_R3_t1_NH4_3_1_S7_L007_R1_001.fastq.gz	t1_NH4_growth_R3	25722395	4893239	0.1902	90202	47	0.08154	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Nitrogen_t1_NH4_growth_R3_t1_NH4_3_1_S7_L007_R2_001.fastq.gz	t1_NH4_growth_R3	25491271	4857050	0.1905	90202	48	0.08179	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Nitrogen_t1_NH4_growth_R3_t1_NH4_3_2_S8_L007_R1_001.fastq.gz	t1_NH4_growth_R3	27095005	5157863	0.1904	90202	42	0.08084	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Nitrogen_t1_NH4_growth_R3_t1_NH4_3_2_S8_L007_R2_001.fastq.gz	t1_NH4_growth_R3	26873064	5128733	0.1909	90202	44	0.08094	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Nitrogen_t2_N_stress_R1_t2_-N_1_1_S9_L007_R1_001.fastq.gz	t2_N_stress_R1	23996090	2878550	0.12	90202	193	0.1301	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Nitrogen_t2_N_stress_R1_t2_-N_1_1_S9_L007_R2_001.fastq.gz	t2_N_stress_R1	23560042	2835734	0.1204	90202	198	0.1308	0	1	1	1	0.0
output/2025_08_CRISPR_Pool1/1_preprocess_reads/Nitrogen_t2_N_stress_R1_t2_-N_1_2_S10_L007_R1_001.fastq.gz	t2_N_stress_R1	20653504	2597210	0.1258	90202	197	0.1347	0	1	1	1	0.0
