Gene	sgRNA	eff
Phatr3_J44729	Phatr3_J44729_559	1
Phatr3_J44729	Phatr3_J44729_661	1
Phatr3_J44729	Phatr3_J44729_134	1
Phatr3_J44729	Phatr3_J44729_378	1
Phatr3_J44729	Phatr3_J44729_785	1
Phatr3_J44729	Phatr3_J44729_319	1
Phatr3_J44729	Phatr3_J44729_157	1
Phatr3_J48711	Phatr3_J48711_445	1
Phatr3_J48711	Phatr3_J48711_499	1
Phatr3_J48711	Phatr3_J48711_548	1
Phatr3_J48711	Phatr3_J48711_717	1
Phatr3_J48711	Phatr3_J48711_165	1
Phatr3_J48711	Phatr3_J48711_84	1
Phatr3_J48711	Phatr3_J48711_286	1
Phatr3_J46095	Phatr3_J46095_437	1
Phatr3_J46095	Phatr3_J46095_530	1
Phatr3_J46095	Phatr3_J46095_672	1
Phatr3_J46095	Phatr3_J46095_602	1
Phatr3_J46095	Phatr3_J46095_447	1
Phatr3_J46095	Phatr3_J46095_643	1
Phatr3_J46095	Phatr3_J46095_354	1
Phatr3_J47588	Phatr3_J47588_539	1
Phatr3_J47588	Phatr3_J47588_364	1
Phatr3_J47588	Phatr3_J47588_473	1
Phatr3_J47588	Phatr3_J47588_214	1
Phatr3_J47588	Phatr3_J47588_688	1
Phatr3_J47588	Phatr3_J47588_587	1
Phatr3_J47588	Phatr3_J47588_407	1
Phatr3_J48823	Phatr3_J48823_454	1
Phatr3_J48823	Phatr3_J48823_329	1
Phatr3_J48823	Phatr3_J48823_156	1
Phatr3_J48823	Phatr3_J48823_513	1
Phatr3_J48823	Phatr3_J48823_308	1
Phatr3_J48823	Phatr3_J48823_430	1
Phatr3_J48823	Phatr3_J48823_636	1
Phatr3_J49339	Phatr3_J49339_1088	1
Phatr3_J49339	Phatr3_J49339_1325	1
Phatr3_J49339	Phatr3_J49339_1542	1
Phatr3_J49339	Phatr3_J49339_1831	1
Phatr3_J49339	Phatr3_J49339_492	1
Phatr3_J49339	Phatr3_J49339_1425	1
Phatr3_J49339	Phatr3_J49339_1481	1
Phatr3_J50514	Phatr3_J50514_416	1
Phatr3_J50514	Phatr3_J50514_253	1
Phatr3_J50514	Phatr3_J50514_801	1
Phatr3_J50514	Phatr3_J50514_947	1
