Gene	sgRNA	t1_NH4_growth|beta	t1_NH4_growth|z	t1_NH4_growth|p-value	t1_NH4_growth|fdr	t1_NH4_growth|wald-p-value	t1_NH4_growth|wald-fdr	t2_N_stress|beta	t2_N_stress|z	t2_N_stress|p-value	t2_N_stress|fdr	t2_N_stress|wald-p-value	t2_N_stress|wald-fdr	t3_NH4_recovery|beta	t3_NH4_recovery|z	t3_NH4_recovery|p-value	t3_NH4_recovery|fdr	t3_NH4_recovery|wald-p-value	t3_NH4_recovery|wald-fdr	t3_NO3_recovery|beta	t3_NO3_recovery|z	t3_NO3_recovery|p-value	t3_NO3_recovery|fdr	t3_NO3_recovery|wald-p-value	t3_NO3_recovery|wald-fdr
Phatr3_J44729	7	-0.053664	-0.26518	0.31349	0.87426	0.79087	1	0.14993	0.93239	0.44717	0.89645	0.35114	1	0.0070174	0.041769	0.42976	0.86815	0.96668	0.98875	-0.13643	-0.80845	0.18475	0.71718	0.41883	0.54968
Phatr3_J48711	7	-0.035072	-0.15951	0.48292	0.91116	0.87326	1	-0.12506	-0.7117	0.14829	0.75523	0.47665	1	-0.34472	-1.8996	0.060247	0.57213	0.057492	0.20344	-0.50421	-2.7934	0.021548	0.40535	0.0052165	0.065904
Phatr3_J46095	7	0.037482	0.17585	0.65689	0.94787	0.86041	1	-0.17882	-1.0652	0.055901	0.65573	0.28679	1	-0.30317	-1.7574	0.078653	0.60269	0.078856	0.22704	-0.38762	-2.2587	0.045938	0.51287	0.023903	0.097865
Phatr3_J47588	7	-0.070453	-0.31867	0.19646	0.80346	0.74998	1	0.039482	0.22594	0.93302	0.99233	0.82125	1	0.26185	1.4625	0.93992	0.98833	0.1436	0.29966	0.4826	2.714	0.5156	0.88704	0.0066469	0.06774
Phatr3_J48823	7	0.062699	0.2211	0.4164	0.90578	0.82502	1	0.016165	0.070666	0.78544	0.96617	0.94366	1	0.22961	0.97081	0.96844	0.994	0.33164	0.49865	0.2679	1.137	0.93071	0.9901	0.25554	0.38538
Phatr3_J49339	7	-0.071259	-0.27536	0.19164	0.80168	0.78304	1	-0.049808	-0.24629	0.41805	0.88534	0.80546	1	0.433	2.1172	0.48322	0.88805	0.034243	0.18298	0.61842	3.0426	0.2505	0.76925	0.0023453	0.050105
Phatr3_J50514	7	-0.015739	-0.063195	0.69723	0.95741	0.94961	1	0.17326	0.87521	0.35092	0.85565	0.38146	1	0.39215	1.922	0.58315	0.91333	0.05461	0.20147	0.45852	2.2504	0.57222	0.90472	0.024421	0.098617
Phatr3_J14571	7	0.041698	0.12581	0.61107	0.93753	0.89988	1	0.047511	0.18244	0.98368	0.99829	0.85524	1	0.52256	1.9787	0.29477	0.80848	0.047848	0.19421	0.61503	2.3385	0.25617	0.77288	0.019364	0.091495
Phatr3_J36133	7	-0.025724	-0.11464	0.58225	0.93405	0.90873	1	0.07357	0.41008	0.85416	0.98146	0.68174	1	-0.01021	-0.054809	0.39865	0.85591	0.95629	0.98207	-0.068825	-0.37002	0.25836	0.77555	0.71137	0.80306
Phatr3_EG01603	7	0.0409	0.14845	0.61969	0.94123	0.88198	1	0.10605	0.48869	0.66499	0.94965	0.62506	1	0.3686	1.6619	0.64544	0.9279	0.096542	0.24844	0.53994	2.4461	0.39049	0.84384	0.014443	0.082498
Phatr3_J49101	7	0.095691	0.4416	0.20664	0.81148	0.65878	1	0.057113	0.33352	0.95518	0.99587	0.73874	1	0.11299	0.64419	0.6611	0.93183	0.51945	0.6689	0.028937	0.16548	0.39835	0.84755	0.86856	0.91668
Phatr3_EG00322	7	-0.012831	-0.057799	0.73288	0.96378	0.95391	1	-0.0043614	-0.024732	0.66282	0.94873	0.98027	1	-0.092289	-0.51172	0.26869	0.78763	0.60885	0.74172	0.033573	0.18741	0.40714	0.84983	0.85134	0.90481
Phatr3_EG01255	7	-0.075787	-0.31925	0.16677	0.77453	0.74954	1	0.083684	0.43834	0.7933	0.96935	0.66114	1	0.41519	2.114	0.52578	0.89671	0.034515	0.18347	0.51661	2.6402	0.43882	0.86341	0.0082855	0.072893
Phatr3_J49300	7	0.036428	0.19537	0.6678	0.949	0.84511	1	-0.23098	-1.533	0.017787	0.51569	0.12527	1	0.20248	1.2856	0.8935	0.98359	0.19857	0.35951	0.13475	0.85545	0.60537	0.91551	0.3923	0.52386
Phatr3_J43579	7	-0.064514	-0.28508	0.23388	0.82923	0.77558	1	-0.21268	-1.1639	0.027566	0.59088	0.24445	1	-0.045673	-0.2362	0.33833	0.83163	0.81328	0.89152	0.075867	0.3947	0.48372	0.87221	0.69307	0.78775
Phatr3_J45064	7	0.20717	0.46346	0.01319	0.42193	0.64303	1	0.14021	0.39381	0.49126	0.90927	0.69372	1	0.66766	1.8346	0.10423	0.6359	0.066571	0.21272	0.71133	1.9549	0.13394	0.66399	0.050595	0.13627
Phatr3_J48919	7	-0.035739	-0.18041	0.47599	0.90895	0.85683	1	-0.047468	-0.30689	0.42961	0.88982	0.75893	1	0.081637	0.51957	0.58719	0.91333	0.60336	0.73727	0.21727	1.391	0.801	0.96318	0.16423	0.28373
Phatr3_J49683	7	0.03665	0.12588	0.6657	0.94898	0.89983	1	0.12149	0.5311	0.58465	0.93278	0.59535	1	0.44294	1.9076	0.45961	0.87547	0.05644	0.2033	0.55331	2.3931	0.36391	0.83442	0.016707	0.085714
Phatr3_J19211	7	0.033283	0.13117	0.70331	0.95869	0.89564	1	0.1434	0.71956	0.47648	0.90689	0.4718	1	0.30307	1.4882	0.82476	0.9739	0.1367	0.29211	0.3916	1.9289	0.74044	0.95131	0.053744	0.14042
Phatr3_J46122	7	0.018509	0.12055	0.878	0.98951	0.90405	1	-0.0914	-0.76502	0.24662	0.80551	0.44426	1	-0.28027	-2.3116	0.091959	0.62254	0.020798	0.17069	-0.35105	-2.915	0.056988	0.5324	0.0035564	0.057581
Phatr3_EG02546	7	0.048548	0.12365	0.54194	0.92525	0.90159	1	0.20341	0.6184	0.24778	0.80696	0.53631	1	0.70012	2.0377	0.079154	0.60434	0.041578	0.18958	0.73424	2.1325	0.11291	0.63376	0.032965	0.11145
Phatr3_J14599	7	-0.037947	-0.27422	0.45415	0.9071	0.78391	1	-0.067615	-0.62458	0.33728	0.85301	0.53224	1	0.27106	2.455	0.91349	0.98766	0.014087	0.15885	0.095012	0.86064	0.52315	0.89096	0.38944	0.52117
Phatr3_J45784	7	0.016825	0.070921	0.8987	0.98999	0.94346	1	0.35991	1.8345	0.02454	0.55955	0.066578	1	0.16126	0.76916	0.78273	0.96164	0.4418	0.6029	0.02891	0.13569	0.39831	0.84755	0.89206	0.93394
Phatr3_J45414	7	0.19267	0.45092	0.018957	0.4867	0.65205	1	0.2198	0.65962	0.20313	0.78877	0.5095	1	0.49244	1.4605	0.35194	0.83837	0.14416	0.30022	0.55011	1.6354	0.37001	0.83635	0.10196	0.20624
Phatr3_J43154	7	-0.10227	-0.51452	0.067452	0.66306	0.60689	1	-0.12649	-0.80022	0.14527	0.75495	0.42358	1	-0.2745	-1.6813	0.095169	0.62755	0.092711	0.2433	-0.47526	-2.923	0.026312	0.43087	0.0034669	0.05749
Phatr3_J3137	7	-0.1027	-0.53487	0.066215	0.66182	0.59274	1	-0.21696	-1.4363	0.024691	0.55955	0.15093	1	-0.65689	-4.2149	0.0054497	0.2608	2.4986e-05	0.0039199	-0.56838	-3.676	0.013908	0.34098	0.0002369	0.011568
Phatr3_EG01449	7	-0.033247	-0.16916	0.50122	0.9154	0.86567	1	-0.051594	-0.32229	0.40956	0.8802	0.74724	1	-0.057623	-0.33802	0.31922	0.82048	0.73535	0.8357	-0.024422	-0.14351	0.31571	0.80678	0.88589	0.92923
Phatr3_J15355	7	0.039048	0.12072	0.63826	0.9451	0.90391	1	0.13514	0.49093	0.51603	0.92084	0.62347	1	0.58297	1.9672	0.19871	0.73859	0.049156	0.19664	0.57475	1.923	0.32447	0.81162	0.054479	0.14148
Phatr3_J43320	7	-0.0013861	-0.0054645	0.87469	0.98951	0.99564	1	-0.045999	-0.22661	0.43654	0.89176	0.82073	1	0.29595	1.4177	0.84472	0.97651	0.15629	0.31315	0.4224	2.0346	0.66272	0.9275	0.041896	0.12392
Phatr3_J46353	7	0.028723	0.1334	0.75593	0.9682	0.89388	1	-0.046445	-0.26548	0.4345	0.89166	0.79064	1	0.24191	1.3376	0.99682	0.99859	0.18103	0.34011	0.31911	1.7724	0.93499	0.9901	0.076332	0.17121
Phatr3_J49425	7	-0.077599	-0.38125	0.15789	0.76764	0.70302	1	0.0014765	0.0089733	0.69669	0.95165	0.99284	1	0.031458	0.18057	0.47675	0.88389	0.85671	0.92023	0.29836	1.7318	0.98932	0.99807	0.083311	0.18109
Phatr3_J19324	7	-0.025151	-0.10723	0.58905	0.93532	0.91461	1	-0.23119	-1.2254	0.01772	0.51569	0.22042	1	-0.32074	-1.6349	0.070612	0.59188	0.10207	0.25495	-0.74557	-3.8097	0.0040455	0.20944	0.00013914	0.0076617
Phatr3_EG01047	3	-0.036129	-0.11186	0.57859	0.93405	0.91094	1	-0.22527	-0.88397	0.12268	0.7362	0.37671	1	-0.78396	-2.9923	0.050217	0.55226	0.0027685	0.083845	-0.51405	-1.9819	0.16595	0.70427	0.047488	0.13185
Phatr3_J35692	7	-0.09889	-0.60352	0.076931	0.68273	0.54616	1	0.13716	1.0677	0.50605	0.91695	0.28566	1	-0.0057617	-0.043765	0.40657	0.85988	0.96509	0.98773	0.12566	0.95946	0.58541	0.90744	0.33733	0.47146
Phatr3_J20192	7	0.0015673	0.0043845	0.91361	0.99272	0.9965	1	0.25517	0.88141	0.12678	0.7409	0.37809	1	0.59547	2.006	0.18119	0.71521	0.044861	0.19201	0.58513	1.9694	0.30642	0.80009	0.048907	0.13359
Phatr3_EG01533	7	-0.040268	-0.20116	0.43208	0.9071	0.84057	1	-0.057917	-0.36014	0.38036	0.86655	0.71874	1	0.19644	1.1959	0.878	0.98094	0.23174	0.39507	0.18007	1.1017	0.71003	0.94239	0.27057	0.40128
Phatr3_J48215	7	0.027185	0.082032	0.77319	0.97352	0.93462	1	0.050846	0.19348	0.99519	0.9995	0.84658	1	0.63802	2.3822	0.13098	0.66897	0.017208	0.16568	0.79653	2.9862	0.068673	0.55997	0.0028249	0.054249
