Gene,sgRNA,t1_Fe_deplete|beta,t1_Fe_deplete|z,t1_Fe_deplete|p-value,t1_Fe_deplete|fdr,t1_Fe_deplete|wald-p-value,t1_Fe_deplete|wald-fdr,t1_Mn_deplete|beta,t1_Mn_deplete|z,t1_Mn_deplete|p-value,t1_Mn_deplete|fdr,t1_Mn_deplete|wald-p-value,t1_Mn_deplete|wald-fdr,t1_Fe_replete|beta,t1_Fe_replete|z,t1_Fe_replete|p-value,t1_Fe_replete|fdr,t1_Fe_replete|wald-p-value,t1_Fe_replete|wald-fdr,t1_Fe_deplete_vs_t1_Mn_deplete_delta_beta,t1_Fe_deplete_vs_t1_Mn_deplete_fdr,t1_Fe_deplete_vs_t1_Fe_replete_delta_beta,t1_Fe_deplete_vs_t1_Fe_replete_fdr,t1_Mn_deplete_vs_t1_Fe_deplete_delta_beta,t1_Mn_deplete_vs_t1_Fe_deplete_fdr,t1_Mn_deplete_vs_t1_Fe_replete_delta_beta,t1_Mn_deplete_vs_t1_Fe_replete_fdr,Significance_Tier,neg_log_fdr
Phatr3_J34358,1,-0.9348633333333334,-0.10226,0.20662,0.84737,0.91855,0.95703,0.5696,0.087513,0.88352,0.99285,0.93026,0.95386,3.0195000000000003,0.33991,0.19878,0.82325,0.73392,0.88633,-1.5044633333333333,0.0038373027150607,-3.9543633333333337,2.037482627059717e-09,1.5044633333333333,0.0038373027150607,-2.4499000000000004,0.0348071803610706,Tier 1 (Hard),2.415973938948932
Phatr3_J48040,1,-0.2124789066666666,-0.011734,0.77566,0.97109,0.99064,1.0,-0.7258033333333334,-0.033252,0.38691,0.88156,0.97347,0.98902,3.5067,0.21324,0.10919,0.71469,0.83114,0.92967,0.5133244266666667,0.924611835364978,-3.7191789066666665,1.824315223331041e-08,-0.5133244266666667,0.924611835364978,-4.232503333333334,4.047319950295503e-06,Tier 1 (Hard),0.03404055173587966
Phatr3_EG00173,1,0.0376023333333333,0.010321,0.93815,0.99315,0.99177,1.0,0.8557199999999999,0.11184,0.80186,0.97972,0.91095,0.93819,2.9853,0.30992,0.20171,0.827,0.75663,0.89529,-0.8181176666666666,0.3939032844135097,-2.9476976666666665,4.226590657496754e-05,0.8181176666666666,0.3939032844135097,-2.1295800000000003,0.0871061850365996,Tier 1 (Hard),0.40461039797443005
Phatr3_J37028,1,0.4331866666666666,0.043648,0.91483,0.99068,0.96518,0.98739,-1.0723,-0.071759,0.19285,0.81874,0.94279,0.96366,3.001333333333333,0.26368,0.19998,0.82486,0.79203,0.91052,1.5054866666666666,0.0038088601371045,-2.5681466666666664,0.0005873878436585,-1.5054866666666666,0.0038088601371045,-4.073633333333333,8.931473116202682e-06,Tier 1 (Hard),2.419204974402494
Phatr3_J51110,1,-1.3997,-0.54075,0.020645,0.5393,0.58868,0.75967,0.8629466666666666,0.42044,0.80043,0.97944,0.67417,0.75261,1.163,0.4381,0.69853,0.96171,0.66131,0.85303,-2.2626466666666665,7.118233554860404e-07,-2.5627,0.000603584825064,2.2626466666666665,7.118233554860404e-07,-0.3000533333333334,0.9763818623819625,Tier 1 (Hard),6.147627156438618
Phatr3_EG01551,1,2.5411,0.0052569,0.31506,0.86757,0.99581,1.0,5.160233333333333,0.014906,0.0027416,0.18427,0.98811,1.0,4.939033333333334,0.0078501,0.040104,0.60621,0.99374,1.0,-2.619133333333333,3.661194853461009e-09,-2.397933333333333,0.0015251568503477,2.619133333333333,3.661194853461009e-09,0.2211999999999996,0.9838887597810142,Tier 1 (Hard),8.436258552024606
Phatr3_EG01628,1,-1.08564,-0.49106,0.11294,0.75655,0.62339,0.77507,-0.0266893333333333,0.081636,0.90603,0.99483,0.93494,0.95693,1.2915333333333334,0.57933,0.66861,0.95308,0.56236,0.8203,-1.0589506666666666,0.1154500608419475,-2.3771733333333334,0.0016797455380579,1.0589506666666666,0.1154500608419475,-1.3182226666666668,0.6141789446368741,Tier 1 (Hard),0.9376058338706732
Phatr3_EG00474,3,-0.6472166666666667,-0.2807,0.097459,0.71948,0.77894,0.86519,0.22677,0.1876,0.45749,0.89273,0.85119,0.894,1.6995333333333331,0.74857,0.59646,0.93854,0.45412,0.79783,-0.8739866666666667,0.3112333637183169,-2.34675,0.0020751564100069,0.8739866666666667,0.3112333637183169,-1.4727633333333334,0.4622225228489673,Tier 1 (Hard),0.5069138535122584
Phatr3_J45920,7,-1.03086,-1.8989,0.0016215,0.1437,0.057576,0.72576,-1.0806233333333333,-1.4998,0.00048479,0.046774,0.13367,0.58685,1.2930666666666666,2.3877,0.95262,0.99522,0.016952,0.79149,0.0497633333333333,0.9926179802376888,-2.3239266666666665,0.0023202508793942,-0.0497633333333333,0.9926179802376888,-2.37369,0.0427356049698565,Tier 1 (Hard),0.003217862276190891
Phatr3_EG00753,2,-0.4389266666666667,-0.14147,0.3163,0.86899,0.8875,0.93766,-0.67821,-0.1562,0.20649,0.82567,0.87587,0.91242,1.8629,0.60285,0.5513,0.92964,0.54661,0.81617,0.2392833333333333,0.9795438920338578,-2.3018266666666665,0.0026413187033069,-0.2392833333333333,0.9795438920338578,-2.54111,0.0243638794539173,Tier 1 (Hard),0.008976099085825603
