Gene,sgRNA,t1_Fe_deplete|beta,t1_Fe_deplete|z,t1_Fe_deplete|p-value,t1_Fe_deplete|fdr,t1_Fe_deplete|wald-p-value,t1_Fe_deplete|wald-fdr,t1_Mn_deplete|beta,t1_Mn_deplete|z,t1_Mn_deplete|p-value,t1_Mn_deplete|fdr,t1_Mn_deplete|wald-p-value,t1_Mn_deplete|wald-fdr,t1_Fe_replete|beta,t1_Fe_replete|z,t1_Fe_replete|p-value,t1_Fe_replete|fdr,t1_Fe_replete|wald-p-value,t1_Fe_replete|wald-fdr,t1_Fe_deplete_vs_t1_Mn_deplete_delta_beta,t1_Fe_deplete_vs_t1_Mn_deplete_fdr,t1_Fe_deplete_vs_t1_Fe_replete_delta_beta,t1_Fe_deplete_vs_t1_Fe_replete_fdr,t1_Mn_deplete_vs_t1_Fe_deplete_delta_beta,t1_Mn_deplete_vs_t1_Fe_deplete_fdr,t1_Mn_deplete_vs_t1_Fe_replete_delta_beta,t1_Mn_deplete_vs_t1_Fe_replete_fdr,Significance_Tier
Phatr3_EG01435,4,-1.3863666666666667,-0.22802,0.00063524,0.06281,0.81963,0.89227,2.688133333333333,0.65384,0.040622,0.59342,0.51322,0.62948,-0.6955933333333334,-0.1843,0.021281,0.53666,0.85377,0.94031,-4.0745,0.0,-0.6907733333333334,0.9128897518409308,4.0745,0.0,3.3837266666666665,0.0010044567289533,Tier 1 (Hard)
Phatr3_J34625,3,-0.4004333333333332,-0.027863,0.19121,0.84737,0.97777,0.99516,3.2589,0.31771,0.013607,0.45027,0.7507,0.81368,-0.086455,-0.027524,0.25403,0.87029,0.97804,1.0,-3.6593333333333335,0.0,-0.3139783333333332,0.9752075490781338,3.6593333333333335,0.0,3.345355,0.0010108266488669,Tier 1 (Hard)
Phatr3_J46409,7,-1.6655,-0.87025,1.6717e-05,0.0034783,0.38416,0.72576,1.8492,1.5669,0.23454,0.83509,0.11713,0.58685,-1.24472,-0.94381,0.00066867,0.061069,0.34527,0.79149,-3.5147,0.0,-0.4207799999999999,0.9752075490781338,3.5147,0.0,3.09392,0.0040591078999663,Tier 1 (Hard)
Phatr3_J51811,7,-1.727666666666667,-1.0187,1.6717e-05,0.0034783,0.30835,0.72576,1.7522333333333335,1.642,0.30821,0.86538,0.1006,0.58685,-1.12904,-0.98629,0.0011033,0.092958,0.32399,0.79149,-3.4799,0.0,-0.5986266666666666,0.9669838199593934,3.4799,0.0,2.8812733333333336,0.0085132587870928,Tier 1 (Hard)
Phatr3_J47323,7,-1.2859033333333334,-0.43483,0.00061852,0.061667,0.66369,0.79467,2.1437666666666666,1.2103,0.094584,0.72068,0.22618,0.58685,-0.4729066666666666,-0.27642,0.023203,0.53666,0.78222,0.9062,-3.42967,0.0,-0.8129966666666668,0.8031457362856071,3.42967,0.0,2.6166733333333334,0.0180993349560459,Tier 1 (Hard)
Phatr3_J9987,7,-1.33042,-0.50408,0.0005015,0.051282,0.61421,0.76995,1.9245666666666663,1.3563,0.18584,0.81233,0.17499,0.58685,-0.8959233333333333,-0.57234,0.0045135,0.27,0.56709,0.82254,-3.2549866666666665,0.0,-0.4344966666666666,0.9752075490781338,3.2549866666666665,0.0,2.82049,0.0103115576659304,Tier 1 (Hard)
Phatr3_J34241,7,-1.4649333333333334,-0.75407,0.00025075,0.025862,0.45081,0.72576,1.7684,1.5163,0.29418,0.86267,0.12945,0.58685,-0.8288166666666666,-0.70034,0.0061184,0.32105,0.48371,0.80335,-3.2333333333333334,0.0,-0.6361166666666668,0.9518385080078074,3.2333333333333334,0.0,2.5972166666666667,0.0196847956609086,Tier 1 (Hard)
Phatr3_J43570,7,-0.7005866666666666,-0.1659,0.0081244,0.39755,0.86823,0.924,2.514533333333333,0.94904,0.01986,0.50339,0.3426,0.58685,-0.4994333333333333,-0.22007,0.021765,0.53666,0.82582,0.92787,-3.21512,0.0,-0.2011533333333332,0.9829245336201544,3.21512,0.0,3.0139666666666662,0.0052925844409073,Tier 1 (Hard)
Phatr3_J35855,1,1.7540333333333331,0.0040659,0.55067,0.92706,0.99676,1.0,4.939033333333334,0.016355,0.0033768,0.21376,0.98695,0.99948,2.5546666666666664,0.005649,0.34962,0.89644,0.99549,1.0,-3.1850000000000005,2.2713144496513207e-13,-0.8006333333333331,0.8119731963733178,3.1850000000000005,2.2713144496513207e-13,2.384366666666667,0.0417525104375955,Tier 1 (Hard)
Phatr3_J49629,7,-1.21094,-0.57074,0.00075226,0.072581,0.56818,0.75115,1.9688333333333332,1.5148,0.16473,0.80472,0.12982,0.58685,-0.7484633333333334,-0.59141,0.008559,0.37883,0.55424,0.81883,-3.1797733333333333,2.2713144496513207e-13,-0.4624766666666665,0.9752075490781338,3.1797733333333333,2.2713144496513207e-13,2.717296666666667,0.0135661292534553,Tier 1 (Hard)
