Gene,sgRNA,t1_Fe_deplete|beta,t1_Fe_deplete|z,t1_Fe_deplete|p-value,t1_Fe_deplete|fdr,t1_Fe_deplete|wald-p-value,t1_Fe_deplete|wald-fdr,t1_Mn_deplete|beta,t1_Mn_deplete|z,t1_Mn_deplete|p-value,t1_Mn_deplete|fdr,t1_Mn_deplete|wald-p-value,t1_Mn_deplete|wald-fdr,t1_Fe_replete|beta,t1_Fe_replete|z,t1_Fe_replete|p-value,t1_Fe_replete|fdr,t1_Fe_replete|wald-p-value,t1_Fe_replete|wald-fdr,t1_Fe_deplete_vs_t1_Mn_deplete_delta_beta,t1_Fe_deplete_vs_t1_Mn_deplete_fdr,t1_Fe_deplete_vs_t1_Fe_replete_delta_beta,t1_Fe_deplete_vs_t1_Fe_replete_fdr,t1_Mn_deplete_vs_t1_Fe_deplete_delta_beta,t1_Mn_deplete_vs_t1_Fe_deplete_fdr,t1_Mn_deplete_vs_t1_Fe_replete_delta_beta,t1_Mn_deplete_vs_t1_Fe_replete_fdr,Significance_Tier,neg_log_fdr
Phatr3_J29456,1,2.285333333333333,0.40159,0.39084,0.8834,0.68799,0.80776,-0.1714713333333333,0.0074948,0.83641,0.98748,0.99402,1.0,1.8769333333333331,0.31322,0.54157,0.92896,0.75412,0.89467,2.4568046666666667,4.4449351221942384e-08,0.4084000000000001,0.9752075490781338,-2.4568046666666667,4.4449351221942384e-08,-2.048404666666667,0.1067074247152063,Tier 1 (Hard),0.010902945504192855
Phatr3_EG01836,1,0.8153099999999999,0.6591,0.80941,0.97565,0.50983,0.7315,-1.21094,-0.71685,0.12651,0.76512,0.47346,0.60611,-0.5642966666666667,-0.7141,0.17093,0.79634,0.47517,0.80144,2.02625,1.5168195011151578e-05,1.3796066666666666,0.2205599100641105,-2.02625,1.5168195011151578e-05,-0.6466433333333332,0.9763818623819625,Tier 1 (Hard),0.6564734239889449
Phatr3_J54998,7,2.0888000000000004,1.0832,0.13806,0.79836,0.2787,0.72576,0.0938333333333333,0.13879,0.1386,0.77873,0.88962,0.92254,0.2819546666666666,0.04657,0.18475,0.80779,0.96286,0.99436,1.994966666666667,2.211235190517463e-05,1.8068453333333336,0.0366558273191618,-1.994966666666667,2.211235190517463e-05,-0.1881213333333333,0.9843053692504896,Tier 1 (Hard),1.4358569740428682
Phatr3_EG01261,2,1.931533333333333,0.30117,0.44639,0.90301,0.76328,0.85433,0.091,0.042995,0.60361,0.93568,0.96571,0.98246,2.9145,0.46232,0.074139,0.67051,0.64385,0.84549,1.8405333333333331,0.0001322732947911,-0.9829666666666664,0.6202384296390991,-1.8405333333333331,0.0001322732947911,-2.8235,0.0103115576659304,Tier 1 (Hard),0.20744132861210587
Phatr3_J15922,1,2.2256,0.26158,0.40642,0.88594,0.79365,0.87481,0.5329366666666667,0.084774,0.89241,0.99386,0.93244,0.95503,2.632033333333333,0.29467,0.32725,0.89277,0.76825,0.89953,1.6926633333333334,0.0006348073083866,-0.4064333333333332,0.9752075490781338,-1.6926633333333334,0.0006348073083866,-2.0990966666666666,0.0948644325939841,Tier 1 (Hard),0.010902945504192855
Phatr3_EG00762,3,0.7592500000000001,0.53113,0.70737,0.95954,0.59533,0.76198,-0.8657266666666666,-0.4263,0.045353,0.59959,0.66989,0.74923,1.4532333333333334,0.93881,0.80023,0.97225,0.34783,0.79149,1.6249766666666667,0.0012138674170724,-0.6939833333333333,0.9128897518409308,-1.6249766666666667,0.0012138674170724,-2.31896,0.0488738025602758,Tier 1 (Hard),0.03958166831211577
Phatr3_J37028,1,0.4331866666666666,0.043648,0.91483,0.99068,0.96518,0.98739,-1.0723,-0.071759,0.19285,0.81874,0.94279,0.96366,3.001333333333333,0.26368,0.19998,0.82486,0.79203,0.91052,1.5054866666666666,0.0038088601371045,-2.5681466666666664,0.0005873878436585,-1.5054866666666666,0.0038088601371045,-4.073633333333333,8.931473116202682e-06,Tier 1 (Hard),3.231075044963985
Phatr3_EG01234,1,0.3139733333333333,0.15579,0.95284,0.99435,0.8762,0.92982,-1.1489366666666667,-0.36903,0.15894,0.79816,0.7121,0.78419,1.6303666666666663,0.67829,0.59448,0.93738,0.49759,0.80607,1.46291,0.0057107487671018,-1.316393333333333,0.2717361595792459,-1.46291,0.0057107487671018,-2.779303333333333,0.0119024531374054,Tier 2 (Lenient),0.5658525667301655
Phatr3_J44172,7,0.8310366666666665,0.91679,0.53302,0.92105,0.35925,0.72576,-0.5549933333333333,-0.36499,0.014076,0.45027,0.71512,0.78608,1.4099666666666666,1.4915,0.79689,0.97225,0.13583,0.79149,1.38603,0.0110127403139881,-0.5789300000000001,0.9752075490781338,-1.38603,0.0110127403139881,-1.96496,0.1330066994672072,Tier 2 (Lenient),0.010902945504192855
Phatr3_J43852,7,0.6403099999999999,1.1818,0.37966,0.8814,0.23729,0.72576,-0.7271133333333334,-0.87324,0.0052992,0.28818,0.38253,0.58685,0.4543633333333334,0.49018,0.26894,0.88056,0.62401,0.84212,1.3674233333333334,0.0128913298736907,0.1859466666666665,0.9872190415514692,-1.3674233333333334,0.0128913298736907,-1.1814766666666667,0.7421347838896463,Tier 2 (Lenient),0.005586476526584131
Phatr3_J18940,7,0.8191566666666666,1.3712,0.52198,0.91987,0.17032,0.72576,-0.5132233333333334,-0.48691,0.016399,0.47419,0.62632,0.7147,0.3679233333333333,0.29875,0.22626,0.85121,0.76513,0.8986,1.33238,0.016943008167165,0.4512333333333333,0.9752075490781338,-1.33238,0.016943008167165,-0.8811466666666667,0.9492881746864248,Tier 2 (Lenient),0.010902945504192855
Phatr3_J13078,7,1.6055333333333337,1.1055,0.51454,0.91716,0.26896,0.72576,0.273615,0.31538,0.21332,0.82589,0.75248,0.81509,1.4730666666666667,0.9648,0.72501,0.96447,0.33465,0.79149,1.3319183333333335,0.0169724796806609,0.1324666666666667,0.992711899853836,-1.3319183333333335,0.0169724796806609,-1.1994516666666668,0.7293839554297059,Tier 2 (Lenient),0.003176772106265352
