Gene_ID,Comparison,Delta_Beta,FDR,Significance_Tier
Phatr3_J48040,t1_Mn_deplete_vs_t1_Fe_replete,-4.232503333333334,4.047319950295503e-06,Tier 1 (Hard)
Phatr3_EG01435,t1_Fe_deplete_vs_t1_Mn_deplete,-4.0745,0.0,Tier 1 (Hard)
Phatr3_J37028,t1_Mn_deplete_vs_t1_Fe_replete,-4.073633333333333,8.931473116202682e-06,Tier 1 (Hard)
Phatr3_J34358,t1_Fe_deplete_vs_t1_Fe_replete,-3.9543633333333337,2.037482627059717e-09,Tier 1 (Hard)
Phatr3_J48040,t1_Fe_deplete_vs_t1_Fe_replete,-3.7191789066666665,1.824315223331041e-08,Tier 1 (Hard)
Phatr3_J34625,t1_Fe_deplete_vs_t1_Mn_deplete,-3.6593333333333335,0.0,Tier 1 (Hard)
Phatr3_J46409,t1_Fe_deplete_vs_t1_Mn_deplete,-3.5147,0.0,Tier 1 (Hard)
Phatr3_J51811,t1_Fe_deplete_vs_t1_Mn_deplete,-3.4799,0.0,Tier 1 (Hard)
Phatr3_J47323,t1_Fe_deplete_vs_t1_Mn_deplete,-3.42967,0.0,Tier 1 (Hard)
Phatr3_J9987,t1_Fe_deplete_vs_t1_Mn_deplete,-3.2549866666666665,0.0,Tier 1 (Hard)
Phatr3_J34241,t1_Fe_deplete_vs_t1_Mn_deplete,-3.2333333333333334,0.0,Tier 1 (Hard)
Phatr3_J43570,t1_Fe_deplete_vs_t1_Mn_deplete,-3.21512,0.0,Tier 1 (Hard)
Phatr3_J35855,t1_Fe_deplete_vs_t1_Mn_deplete,-3.1850000000000005,2.2713144496513207e-13,Tier 1 (Hard)
Phatr3_J49629,t1_Fe_deplete_vs_t1_Mn_deplete,-3.1797733333333333,2.2713144496513207e-13,Tier 1 (Hard)
Phatr3_J43026,t1_Fe_deplete_vs_t1_Mn_deplete,-3.1732033333333334,2.2713144496513207e-13,Tier 1 (Hard)
Phatr3_J31474,t1_Fe_deplete_vs_t1_Mn_deplete,-3.1271733333333334,4.1640764910274203e-13,Tier 1 (Hard)
Phatr3_J40550,t1_Fe_deplete_vs_t1_Mn_deplete,-3.12053,5.765644372191813e-13,Tier 1 (Hard)
Phatr3_J49387,t1_Fe_deplete_vs_t1_Mn_deplete,-3.0884466666666666,1.070762526264194e-12,Tier 1 (Hard)
Phatr3_J49114,t1_Fe_deplete_vs_t1_Mn_deplete,-3.00292,5.4653503944734886e-12,Tier 1 (Hard)
Phatr3_J50806,t1_Fe_deplete_vs_t1_Mn_deplete,-3.0008833333333333,5.4653503944734886e-12,Tier 1 (Hard)
Phatr3_EG00100,t1_Mn_deplete_vs_t1_Fe_replete,-2.99506,0.0056951149186202,Tier 1 (Hard)
Phatr3_EG00173,t1_Fe_deplete_vs_t1_Fe_replete,-2.9476976666666665,4.226590657496754e-05,Tier 1 (Hard)
Phatr3_J49830,t1_Fe_deplete_vs_t1_Mn_deplete,-2.9181976666666665,2.7042002624083952e-11,Tier 1 (Hard)
Phatr3_J33007,t1_Fe_deplete_vs_t1_Mn_deplete,-2.907853333333333,3.136937623240657e-11,Tier 1 (Hard)
Phatr3_J46817,t1_Fe_deplete_vs_t1_Mn_deplete,-2.8958166666666667,3.7739682723943245e-11,Tier 1 (Hard)
Phatr3_J44374,t1_Fe_deplete_vs_t1_Mn_deplete,-2.88809,4.1724046440094745e-11,Tier 1 (Hard)
Phatr3_J27972,t1_Fe_deplete_vs_t1_Mn_deplete,-2.882203333333333,4.461510526100808e-11,Tier 1 (Hard)
Phatr3_J18246,t1_Fe_deplete_vs_t1_Mn_deplete,-2.872573333333333,5.144527228460241e-11,Tier 1 (Hard)
Phatr3_J47041,t1_Fe_deplete_vs_t1_Mn_deplete,-2.860073333333333,6.069141485672465e-11,Tier 1 (Hard)
Phatr3_J12452,t1_Fe_deplete_vs_t1_Mn_deplete,-2.859656666666667,6.069141485672465e-11,Tier 1 (Hard)
Phatr3_J7072,t1_Fe_deplete_vs_t1_Mn_deplete,-2.8570966666666666,6.126189333599542e-11,Tier 1 (Hard)
Phatr3_J46694,t1_Fe_deplete_vs_t1_Mn_deplete,-2.8382533333333333,8.494716041695938e-11,Tier 1 (Hard)
Phatr3_J43364,t1_Fe_deplete_vs_t1_Mn_deplete,-2.8182266666666664,1.2048061314039335e-10,Tier 1 (Hard)
Phatr3_J33584,t1_Fe_deplete_vs_t1_Mn_deplete,-2.8098333333333336,1.365222220986847e-10,Tier 1 (Hard)
Phatr3_J50241,t1_Fe_deplete_vs_t1_Mn_deplete,-2.74958,4.140527920526438e-10,Tier 1 (Hard)
Phatr3_J48573,t1_Fe_deplete_vs_t1_Mn_deplete,-2.732273333333333,5.535723287171853e-10,Tier 1 (Hard)
Phatr3_EG01075,t1_Fe_deplete_vs_t1_Mn_deplete,-2.70766,8.231598458419143e-10,Tier 1 (Hard)
Phatr3_J22187,t1_Fe_deplete_vs_t1_Mn_deplete,-2.70747,8.231598458419143e-10,Tier 1 (Hard)
Phatr3_J20809,t1_Fe_deplete_vs_t1_Mn_deplete,-2.7036066666666665,8.573454942617183e-10,Tier 1 (Hard)
Phatr3_EG00478,t1_Fe_deplete_vs_t1_Mn_deplete,-2.682174636666667,1.2350405926711383e-09,Tier 1 (Hard)
Phatr3_J17683,t1_Fe_deplete_vs_t1_Mn_deplete,-2.62998,3.098786751008577e-09,Tier 1 (Hard)
Phatr3_EG01551,t1_Fe_deplete_vs_t1_Mn_deplete,-2.619133333333333,3.661194853461009e-09,Tier 1 (Hard)
Phatr3_EG01492,t1_Fe_deplete_vs_t1_Mn_deplete,-2.6014766666666667,4.884529249539883e-09,Tier 1 (Hard)
Phatr3_J27508,t1_Fe_deplete_vs_t1_Mn_deplete,-2.586453333333333,6.211399488321197e-09,Tier 1 (Hard)
Phatr3_J43122,t1_Fe_deplete_vs_t1_Mn_deplete,-2.5832166666666665,6.409218409558912e-09,Tier 1 (Hard)
Phatr3_J2966,t1_Fe_deplete_vs_t1_Mn_deplete,-2.579066666666667,6.724941892244374e-09,Tier 1 (Hard)
Phatr3_J37028,t1_Fe_deplete_vs_t1_Fe_replete,-2.5681466666666664,0.0005873878436585,Tier 1 (Hard)
Phatr3_J51110,t1_Fe_deplete_vs_t1_Fe_replete,-2.5627,0.000603584825064,Tier 1 (Hard)
Phatr3_J43638,t1_Fe_deplete_vs_t1_Mn_deplete,-2.561685333333333,8.79399416778678e-09,Tier 1 (Hard)
Phatr3_J52551,t1_Fe_deplete_vs_t1_Mn_deplete,-2.5610676666666663,8.79399416778678e-09,Tier 1 (Hard)
Phatr3_Jdraft251,t1_Fe_deplete_vs_t1_Mn_deplete,-2.5431600000000003,1.1750016732202482e-08,Tier 1 (Hard)
