Gene,sgRNA,t1_NH4_growth|beta,t1_NH4_growth|z,t1_NH4_growth|p-value,t1_NH4_growth|fdr,t1_NH4_growth|wald-p-value,t1_NH4_growth|wald-fdr,t2_N_stress|beta,t2_N_stress|z,t2_N_stress|p-value,t2_N_stress|fdr,t2_N_stress|wald-p-value,t2_N_stress|wald-fdr,t3_NH4_recovery|beta,t3_NH4_recovery|z,t3_NH4_recovery|p-value,t3_NH4_recovery|fdr,t3_NH4_recovery|wald-p-value,t3_NH4_recovery|wald-fdr,t3_NO3_recovery|beta,t3_NO3_recovery|z,t3_NO3_recovery|p-value,t3_NO3_recovery|fdr,t3_NO3_recovery|wald-p-value,t3_NO3_recovery|wald-fdr,t2_N_stress_vs_t1_NH4_growth_delta_beta,t2_N_stress_vs_t1_NH4_growth_fdr,t3_NH4_recovery_vs_t2_N_stress_delta_beta,t3_NH4_recovery_vs_t2_N_stress_fdr,t3_NH4_recovery_vs_t3_NO3_recovery_delta_beta,t3_NH4_recovery_vs_t3_NO3_recovery_fdr,t3_NO3_recovery_vs_t1_NH4_growth_delta_beta,t3_NO3_recovery_vs_t1_NH4_growth_fdr,t3_NO3_recovery_vs_t2_N_stress_delta_beta,t3_NO3_recovery_vs_t2_N_stress_fdr,t3_NO3_recovery_vs_t3_NH4_recovery_delta_beta,t3_NO3_recovery_vs_t3_NH4_recovery_fdr,Significance_Tier,neg_log_fdr
Phatr3_J51128,1,0.694975,0.46107,0.27481,0.85843,0.64475,1,0.042271,-0.078577,0.85349,0.98146,0.93737,1,-0.692985,-2.1421,0.23932,0.76508,0.032182,0.18127,-1.242955,-4.617,0.022284,0.4104,3.8927e-06,0.0006128,-0.652704,0.4371176705806391,-0.7352559999999999,0.0899611477766532,0.5499700000000001,1.5537210407146063e-10,-1.93793,2.4172464030414176e-09,-1.285226,4.408802954587137e-06,-0.5499700000000001,1.5537210407146063e-10,Tier 1 (Hard),9.805840720127815
Phatr3_J36115,1,0.71114,0.41909,0.25971,0.84827,0.67515,1,-0.7383649999999999,-0.80123,0.13719,0.74476,0.423,1,-1.20046,-3.3379,0.0277,0.44832,0.00084428,0.040083,-1.0978975,-3.603,0.041341,0.49361,0.00031453,0.014139,-1.4495049999999998,1.884742802301294e-05,-0.4620950000000001,0.6653926711410539,-0.1025625000000001,0.9372039721021248,-1.8090375,5.0375331757853324e-08,-0.3595325,0.8725951512990854,0.1025625000000001,0.9372039721021248,Tier 1 (Hard),0.028165879423332405
Phatr3_J12888,1,0.17289604175,-6.8439e-05,0.82407,0.98317,0.99995,1,0.739375,0.98004,0.19651,0.78629,0.32706,1,-1.5977725,-4.1891,0.0064694,0.28145,2.8001e-05,0.0041875,-1.5977725,-5.034,0.0055333,0.23546,4.8036e-07,0.00011269,0.56647895825,0.6150814019225143,-2.3371475,0.0,0.0,1.0,-1.77066854175,1.0073109235619881e-07,-2.3371475,0.0,0.0,1.0,Tier 1 (Hard),-4.343330909353833e-13
Phatr3_J11472,1,0.5324800000000001,0.24673,0.57768,0.93405,0.80512,1,0.43594625,0.51458,0.5516,0.92856,0.60685,1,-1.428325,-4.531,0.010916,0.33048,5.8709e-06,0.0016335,-1.0677925,-4.099,0.048579,0.52104,4.1489e-05,0.0031416,-0.09653375,0.998475084011586,-1.86427125,0.0,-0.3605325000000001,0.0003223873044334,-1.6002725,4.919162639005492e-06,-1.50373875,9.758305052898208e-09,0.3605325000000001,0.0003223873044334,Tier 1 (Hard),3.491622067638562
Phatr3_EG00524,1,0.4694125,0.19874,0.69814,0.95741,0.84247,1,-0.348615,-0.50729,0.42337,0.8862,0.61195,1,-0.084356,-0.23149,0.9445,0.98833,0.81694,0.89333,-1.0509475,-4.1718,0.05326,0.5316,3.0216e-05,0.0025104,-0.8180275,0.1596622763483821,0.264259,0.955140621823517,0.9665915,0.0,-1.52036,2.1081003793531143e-05,-0.7023324999999999,0.1161653069714158,-0.9665915,0.0,Tier 1 (Hard),12.0
Phatr3_Jdraft1298,1,0.0636145,-0.052689,0.68549,0.9546,0.95798,1,0.0224397499999999,-0.10267,0.82725,0.97737,0.91822,1,-0.56677,-1.835,0.32802,0.82632,0.06651,0.21272,-1.428325,-5.1539,0.012755,0.32817,2.5506e-07,6.6339e-05,-0.04117475,0.998475084011586,-0.58920975,0.3522595227921697,0.8615550000000001,0.0,-1.4919395,3.4161108617980496e-05,-1.45076475,4.3146661532489364e-08,-0.8615550000000001,0.0,Tier 2 (Lenient),12.0
Phatr3_J22332,1,1.0243575,0.99244,0.07123,0.67208,0.32098,1,-1.005545,-1.3371,0.042143,0.65349,0.1812,1,-0.4510824999999999,-1.4664,0.4395,0.86869,0.14255,0.29846,-0.3586275,-1.2423,0.55779,0.90133,0.21413,0.33901,-2.0299025000000004,1.4990675367698714e-11,0.5544625000000002,0.4373416939019599,-0.0924549999999999,0.9590759261924724,-1.382985,0.0002621035707718,0.6469175000000001,0.2085713071191071,0.0924549999999999,0.9590759261924724,Tier 2 (Lenient),0.018147010116510605
Phatr3_EG00113,1,0.27398825,0.051188,0.97268,0.996,0.95918,1,-0.036516675,-0.16337,0.74816,0.95938,0.87023,1,-0.5737650000000001,-1.7487,0.32599,0.8242,0.080342,0.22891,-1.0847475,-3.8602,0.047158,0.51656,0.00011329,0.0066439,-0.310504925,0.9581655577412078,-0.5372483250000001,0.4707018780297619,0.5109824999999999,4.596054165270526e-09,-1.35873575,0.0003855598795018,-1.048230825,0.0006621792662372,-0.5109824999999999,4.596054165270526e-09,Tier 2 (Lenient),8.33752037909948
Phatr3_EG01922,1,0.5934425,0.32026,0.46499,0.9071,0.74877,1,-0.4183525,-0.56615,0.37046,0.86305,0.57129,1,-1.145615,-3.6725,0.049365,0.55226,0.00024023,0.01752,-0.723015,-2.9226,0.18047,0.71476,0.0034709,0.05749,-1.011795,0.021955697377101,-0.7272625,0.0926792988494096,-0.4226000000000001,5.419797896107544e-06,-1.3164574999999998,0.000740774015473,-0.3046624999999999,0.9391498029303308,0.4226000000000001,5.419797896107544e-06,Tier 2 (Lenient),5.266016827840049
Phatr3_Jdraft590,1,0.24756225,0.030774,0.93104,0.99412,0.97545,1,0.05619025,-0.050253,0.87434,0.98545,0.95992,1,-1.0847475,-2.7865,0.057088,0.56535,0.005328,0.11424,-0.9922225,-3.0643,0.06762,0.55884,0.002182,0.048713,-0.191372,0.998475084011586,-1.14093775,0.0001013886608296,-0.0925249999999999,0.9590759261924724,-1.23978475,0.0028617763483127,-1.04841275,0.0006621792662372,0.0925249999999999,0.9590759261924724,Tier 2 (Lenient),0.018147010116510605
