Gene,sgRNA,t1_NH4_growth|beta,t1_NH4_growth|z,t1_NH4_growth|p-value,t1_NH4_growth|fdr,t1_NH4_growth|wald-p-value,t1_NH4_growth|wald-fdr,t2_N_stress|beta,t2_N_stress|z,t2_N_stress|p-value,t2_N_stress|fdr,t2_N_stress|wald-p-value,t2_N_stress|wald-fdr,t3_NH4_recovery|beta,t3_NH4_recovery|z,t3_NH4_recovery|p-value,t3_NH4_recovery|fdr,t3_NH4_recovery|wald-p-value,t3_NH4_recovery|wald-fdr,t3_NO3_recovery|beta,t3_NO3_recovery|z,t3_NO3_recovery|p-value,t3_NO3_recovery|fdr,t3_NO3_recovery|wald-p-value,t3_NO3_recovery|wald-fdr,t2_N_stress_vs_t1_NH4_growth_delta_beta,t2_N_stress_vs_t1_NH4_growth_fdr,t3_NH4_recovery_vs_t2_N_stress_delta_beta,t3_NH4_recovery_vs_t2_N_stress_fdr,t3_NH4_recovery_vs_t3_NO3_recovery_delta_beta,t3_NH4_recovery_vs_t3_NO3_recovery_fdr,t3_NO3_recovery_vs_t1_NH4_growth_delta_beta,t3_NO3_recovery_vs_t1_NH4_growth_fdr,t3_NO3_recovery_vs_t2_N_stress_delta_beta,t3_NO3_recovery_vs_t2_N_stress_fdr,t3_NO3_recovery_vs_t3_NH4_recovery_delta_beta,t3_NO3_recovery_vs_t3_NH4_recovery_fdr,Significance_Tier,neg_log_fdr
Phatr3_J12888,1,0.17289604175,-6.8439e-05,0.82407,0.98317,0.99995,1,0.739375,0.98004,0.19651,0.78629,0.32706,1,-1.5977725,-4.1891,0.0064694,0.28145,2.8001e-05,0.0041875,-1.5977725,-5.034,0.0055333,0.23546,4.8036e-07,0.00011269,0.56647895825,0.6150814019225143,-2.3371475,0.0,0.0,1.0,-1.77066854175,1.0073109235619881e-07,-2.3371475,0.0,0.0,1.0,Tier 1 (Hard),6.99683214500959
Phatr3_J11472,1,0.5324800000000001,0.24673,0.57768,0.93405,0.80512,1,0.43594625,0.51458,0.5516,0.92856,0.60685,1,-1.428325,-4.531,0.010916,0.33048,5.8709e-06,0.0016335,-1.0677925,-4.099,0.048579,0.52104,4.1489e-05,0.0031416,-0.09653375,0.998475084011586,-1.86427125,0.0,-0.3605325000000001,0.0003223873044334,-1.6002725,4.919162639005492e-06,-1.50373875,9.758305052898208e-09,0.3605325000000001,0.0003223873044334,Tier 1 (Hard),5.308108730127182
Phatr3_Jdraft1298,1,0.0636145,-0.052689,0.68549,0.9546,0.95798,1,0.0224397499999999,-0.10267,0.82725,0.97737,0.91822,1,-0.56677,-1.835,0.32802,0.82632,0.06651,0.21272,-1.428325,-5.1539,0.012755,0.32817,2.5506e-07,6.6339e-05,-0.04117475,0.998475084011586,-0.58920975,0.3522595227921697,0.8615550000000001,0.0,-1.4919395,3.4161108617980496e-05,-1.45076475,4.3146661532489364e-08,-0.8615550000000001,0.0,Tier 2 (Lenient),4.466468031041015
Phatr3_J51128,1,0.694975,0.46107,0.27481,0.85843,0.64475,1,0.042271,-0.078577,0.85349,0.98146,0.93737,1,-0.692985,-2.1421,0.23932,0.76508,0.032182,0.18127,-1.242955,-4.617,0.022284,0.4104,3.8927e-06,0.0006128,-0.652704,0.4371176705806391,-0.7352559999999999,0.0899611477766532,0.5499700000000001,1.5537210407146063e-10,-1.93793,2.4172464030414176e-09,-1.285226,4.408802954587137e-06,-0.5499700000000001,1.5537210407146063e-10,Tier 2 (Lenient),8.616499449534324
Phatr3_EG00515,1,-1.5977725,-1.0279,0.00058509,0.099281,0.30401,1,0.4487875,0.48668,0.53367,0.92257,0.62648,1,-0.4934699999999999,-1.4701,0.39617,0.85591,0.14154,0.2976,-0.7713525000000001,-2.7824,0.14313,0.6747,0.0053963,0.066233,2.04656,1.249222947308226e-11,-0.9422575,0.0053782250415592,0.2778825000000001,0.0230017444940509,0.8264199999999999,0.1993396575814006,-1.2201400000000002,2.321029783802775e-05,-0.2778825000000001,0.0230017444940509,Tier 2 (Lenient),0.7004062920879278
Phatr3_EG01436,1,-0.0801665,-0.13253,0.51546,0.91589,0.89456,1,-0.047502925,-0.21319,0.73531,0.95763,0.83118,1,-0.192917,-0.67916,0.7768,0.95962,0.49704,0.65104,-1.20046,-5.1635,0.028753,0.43847,2.424e-07,6.6035e-05,0.032663575,0.998475084011586,-0.145414075,0.9971994410052348,1.007543,0.0,-1.1202935,0.012556801449086,-1.152957075,9.809270146595011e-05,-1.007543,0.0,Tier 2 (Lenient),1.9011209728189344
Phatr3_Jdraft1757,1,0.6835825,0.37919,0.29468,0.8698,0.70455,1,0.57272,0.63724,0.38178,0.8675,0.52397,1,-0.1740665,-0.45036,0.80505,0.96894,0.65245,0.77563,-0.5096975,-1.5926,0.38704,0.84384,0.11126,0.21848,-0.1108624999999999,0.998475084011586,-0.7467865,0.0791729461010698,0.335631,0.0013986627237945,-1.19328,0.0051053629414931,-1.0824175,0.0003640788167432,-0.335631,0.0013986627237945,Tier 2 (Lenient),2.291973378294193
Phatr3_EG00331,1,0.937505,0.28446,0.089468,0.69869,0.77606,1,0.937505,0.52193,0.067034,0.67559,0.60172,1,0.00369725,0.028433,0.91224,0.98766,0.97732,0.99561,-0.11165825,-0.084887,0.90776,0.98803,0.93235,0.96078,0.0,1.0,-0.93380775,0.0057978212035997,0.1153555,0.9067715008722148,-1.04916325,0.0289685309621017,-1.04916325,0.0006621792662372,-0.1153555,0.9067715008722148,Tier 2 (Lenient),1.5380735279510602
Phatr3_Jdraft590,1,0.24756225,0.030774,0.93104,0.99412,0.97545,1,0.05619025,-0.050253,0.87434,0.98545,0.95992,1,-1.0847475,-2.7865,0.057088,0.56535,0.005328,0.11424,-0.9922225,-3.0643,0.06762,0.55884,0.002182,0.048713,-0.191372,0.998475084011586,-1.14093775,0.0001013886608296,-0.0925249999999999,0.9590759261924724,-1.23978475,0.0028617763483127,-1.04841275,0.0006621792662372,0.0925249999999999,0.9590759261924724,Tier 2 (Lenient),2.543364309798703
Phatr3_EG00113,1,0.27398825,0.051188,0.97268,0.996,0.95918,1,-0.036516675,-0.16337,0.74816,0.95938,0.87023,1,-0.5737650000000001,-1.7487,0.32599,0.8242,0.080342,0.22891,-1.0847475,-3.8602,0.047158,0.51656,0.00011329,0.0066439,-0.310504925,0.9581655577412078,-0.5372483250000001,0.4707018780297619,0.5109824999999999,4.596054165270526e-09,-1.35873575,0.0003855598795018,-1.048230825,0.0006621792662372,-0.5109824999999999,4.596054165270526e-09,Tier 2 (Lenient),3.413908163003557
Phatr3_J33915,1,-1.0978975,-0.45682,0.043447,0.62401,0.6478,1,0.3020995,0.26584,0.75557,0.96074,0.79036,1,-0.2171805,-0.63259,0.74512,0.95235,0.527,0.67527,-0.7259549999999999,-2.6858,0.17987,0.71476,0.0072351,0.069583,1.399997,3.956103880497399e-05,-0.51928,0.529012834281631,0.5087744999999999,5.403722062406283e-09,0.3719425,0.937608838461036,-1.0280545,0.0009237144222669,-0.5087744999999999,5.403722062406283e-09,Tier 2 (Lenient),0.027978307386992758
Phatr3_J48040,1,-0.16655575,-0.1908,0.42718,0.9071,0.84868,1,0.4537925,0.68763,0.52758,0.92181,0.49169,1,-0.12688575,-0.46904,0.87404,0.97956,0.63904,0.76532,-0.56061,-2.6336,0.33626,0.81735,0.0084478,0.073144,0.6203482499999999,0.4940824024132249,-0.58067825,0.3726403298271072,0.43372425,2.3995518213461213e-06,-0.39405425,0.930236556261118,-1.0144025,0.0011634828693396,-0.43372425,2.3995518213461213e-06,Tier 2 (Lenient),0.03140659766586641
