Experiment,Condition,Bio_Rep,Original_File,Output_File,Total_Reads,Extracted_Reads,Success_Rate_Pct
Nitrogen,t0,1,T0_NH4NO3A1_R1.fastq.gz,Nitrogen_t0_R1_T0_NH4NO3A1_R1.fastq.gz,10695036,10006431,93.56
Nitrogen,t0,1,T0_NH4NO3A2_R1.fastq.gz,Nitrogen_t0_R1_T0_NH4NO3A2_R1.fastq.gz,10129663,9507844,93.86
Nitrogen,t0,1,T0_NH4NO3A3_R1.fastq.gz,Nitrogen_t0_R1_T0_NH4NO3A3_R1.fastq.gz,11139806,10395268,93.32
Nitrogen,t0,1,T0_NH4NO3A4_R1.fastq.gz,Nitrogen_t0_R1_T0_NH4NO3A4_R1.fastq.gz,10497497,9841785,93.75
Nitrogen,t0,1,T0_NH4NO3A5_R1.fastq.gz,Nitrogen_t0_R1_T0_NH4NO3A5_R1.fastq.gz,9829784,9225595,93.85
Nitrogen,t0,1,T0_NH4NO3A6_R1.fastq.gz,Nitrogen_t0_R1_T0_NH4NO3A6_R1.fastq.gz,11135052,10436827,93.73
PCR_Cycle_Compare,t0_12c,1,T0_NHNOA12C1_R1.fastq.gz,PCR_Cycle_Compare_t0_12c_R1_T0_NHNOA12C1_R1.fastq.gz,6980142,6011975,86.13
PCR_Cycle_Compare,t0_12c,1,T0_NHNOA12C2_R1.fastq.gz,PCR_Cycle_Compare_t0_12c_R1_T0_NHNOA12C2_R1.fastq.gz,8005665,6914582,86.37
PCR_Cycle_Compare,Nfree_12c,1,T1_NFRB_12C1_R1.fastq.gz,PCR_Cycle_Compare_Nfree_12c_R1_T1_NFRB_12C1_R1.fastq.gz,137,127,92.7
PCR_Cycle_Compare,Nfree_12c,1,T1_NFRB_12C2_R1.fastq.gz,PCR_Cycle_Compare_Nfree_12c_R1_T1_NFRB_12C2_R1.fastq.gz,8237994,7636675,92.7
Nitrogen,NFREE,1,T1_NFREE_1_1_R1.fastq.gz,Nitrogen_NFREE_R1_T1_NFREE_1_1_R1.fastq.gz,10309926,9752670,94.59
Nitrogen,NFREE,1,T1_NFREE_1_2_R1.fastq.gz,Nitrogen_NFREE_R1_T1_NFREE_1_2_R1.fastq.gz,10258895,9743757,94.98
Nitrogen,NFREE,1,T1_NFREE_1_3_R1.fastq.gz,Nitrogen_NFREE_R1_T1_NFREE_1_3_R1.fastq.gz,11677907,11055438,94.67
Nitrogen,NFREE,1,T1_NFREE_1_4_R1.fastq.gz,Nitrogen_NFREE_R1_T1_NFREE_1_4_R1.fastq.gz,15079627,14277417,94.68
Nitrogen,NFREE,1,T1_NFREE_1_5_R1.fastq.gz,Nitrogen_NFREE_R1_T1_NFREE_1_5_R1.fastq.gz,12592423,11906765,94.55
Nitrogen,NFREE,1,T1_NFREE_1_6_R1.fastq.gz,Nitrogen_NFREE_R1_T1_NFREE_1_6_R1.fastq.gz,11490337,10885134,94.73
Nitrogen,NFREE,2,T1_NFREE_2_1_R1.fastq.gz,Nitrogen_NFREE_R2_T1_NFREE_2_1_R1.fastq.gz,10531122,10039667,95.33
Nitrogen,NFREE,2,T1_NFREE_2_2_R1.fastq.gz,Nitrogen_NFREE_R2_T1_NFREE_2_2_R1.fastq.gz,10937550,10409954,95.18
Nitrogen,NFREE,2,T1_NFREE_2_3_R1.fastq.gz,Nitrogen_NFREE_R2_T1_NFREE_2_3_R1.fastq.gz,10428438,9881956,94.76
Nitrogen,NFREE,2,T1_NFREE_2_4_R1.fastq.gz,Nitrogen_NFREE_R2_T1_NFREE_2_4_R1.fastq.gz,11121723,10532964,94.71
Nitrogen,NFREE,2,T1_NFREE_2_5_R1.fastq.gz,Nitrogen_NFREE_R2_T1_NFREE_2_5_R1.fastq.gz,11619839,10991763,94.59
Nitrogen,NFREE,2,T1_NFREE_2_6_R1.fastq.gz,Nitrogen_NFREE_R2_T1_NFREE_2_6_R1.fastq.gz,11371725,10816537,95.12
Nitrogen,NH4NO3,1,T1_NH4NO3A1_R1.fastq.gz,Nitrogen_NH4NO3_R1_T1_NH4NO3A1_R1.fastq.gz,9658133,9048520,93.69
Nitrogen,NH4NO3,1,T1_NH4NO3A2_R1.fastq.gz,Nitrogen_NH4NO3_R1_T1_NH4NO3A2_R1.fastq.gz,10291190,9614706,93.43
Nitrogen,NH4NO3,1,T1_NH4NO3A3_R1.fastq.gz,Nitrogen_NH4NO3_R1_T1_NH4NO3A3_R1.fastq.gz,11024778,10372633,94.08
Nitrogen,NH4NO3,1,T1_NH4NO3A4_R1.fastq.gz,Nitrogen_NH4NO3_R1_T1_NH4NO3A4_R1.fastq.gz,10512199,9898009,94.16
Nitrogen,NH4NO3,1,T1_NH4NO3A5_R1.fastq.gz,Nitrogen_NH4NO3_R1_T1_NH4NO3A5_R1.fastq.gz,11700404,10970128,93.76
Nitrogen,NH4NO3,1,T1_NH4NO3A6_R1.fastq.gz,Nitrogen_NH4NO3_R1_T1_NH4NO3A6_R1.fastq.gz,10287812,9688829,94.18
Nitrogen,NH4NO3,2,T1_NH4NO3B1_R1.fastq.gz,Nitrogen_NH4NO3_R2_T1_NH4NO3B1_R1.fastq.gz,10827434,10017058,92.52
Nitrogen,NH4NO3,2,T1_NH4NO3B2_R1.fastq.gz,Nitrogen_NH4NO3_R2_T1_NH4NO3B2_R1.fastq.gz,11267707,10485125,93.05
Nitrogen,NH4NO3,2,T1_NH4NO3B3_R1.fastq.gz,Nitrogen_NH4NO3_R2_T1_NH4NO3B3_R1.fastq.gz,11675549,10807196,92.56
Nitrogen,NH4NO3,2,T1_NH4NO3B4_R1.fastq.gz,Nitrogen_NH4NO3_R2_T1_NH4NO3B4_R1.fastq.gz,9904346,9251037,93.4
Nitrogen,NH4NO3,2,T1_NH4NO3B5_R1.fastq.gz,Nitrogen_NH4NO3_R2_T1_NH4NO3B5_R1.fastq.gz,11094596,10379547,93.55
Nitrogen,NH4NO3,2,T1_NH4NO3B6_R1.fastq.gz,Nitrogen_NH4NO3_R2_T1_NH4NO3B6_R1.fastq.gz,10560368,9855621,93.33
Nitrogen,NH4,1,T1_NH4_1_1_R1.fastq.gz,Nitrogen_NH4_R1_T1_NH4_1_1_R1.fastq.gz,10592583,9999077,94.4
Nitrogen,NH4,1,T1_NH4_1_2_R1.fastq.gz,Nitrogen_NH4_R1_T1_NH4_1_2_R1.fastq.gz,10825932,10249334,94.67
Nitrogen,NH4,1,T1_NH4_1_3_R1.fastq.gz,Nitrogen_NH4_R1_T1_NH4_1_3_R1.fastq.gz,11129803,10555412,94.84
Nitrogen,NH4,1,T1_NH4_1_4_R1.fastq.gz,Nitrogen_NH4_R1_T1_NH4_1_4_R1.fastq.gz,11277331,10673295,94.64
Nitrogen,NH4,1,T1_NH4_1_5_R1.fastq.gz,Nitrogen_NH4_R1_T1_NH4_1_5_R1.fastq.gz,12146151,11550235,95.09
Nitrogen,NH4,1,T1_NH4_1_6_R1.fastq.gz,Nitrogen_NH4_R1_T1_NH4_1_6_R1.fastq.gz,10582919,10002322,94.51
Nitrogen,NH4,2,T1_NH4_2_1_R1.fastq.gz,Nitrogen_NH4_R2_T1_NH4_2_1_R1.fastq.gz,10450633,9913210,94.86
Nitrogen,NH4,2,T1_NH4_2_2_R1.fastq.gz,Nitrogen_NH4_R2_T1_NH4_2_2_R1.fastq.gz,10334050,9815004,94.98
Nitrogen,NH4,2,T1_NH4_2_3_R1.fastq.gz,Nitrogen_NH4_R2_T1_NH4_2_3_R1.fastq.gz,13106302,12434677,94.88
Nitrogen,NH4,2,T1_NH4_2_4_R1.fastq.gz,Nitrogen_NH4_R2_T1_NH4_2_4_R1.fastq.gz,10533700,10009165,95.02
Nitrogen,NH4,2,T1_NH4_2_5_R1.fastq.gz,Nitrogen_NH4_R2_T1_NH4_2_5_R1.fastq.gz,10551011,9995633,94.74
Nitrogen,NH4,2,T1_NH4_2_6_R1.fastq.gz,Nitrogen_NH4_R2_T1_NH4_2_6_R1.fastq.gz,11151070,10565317,94.75
PCR_Cycle_Compare,NO3_12c,1,T1_NO3B2_12C1_R1.fastq.gz,PCR_Cycle_Compare_NO3_12c_R1_T1_NO3B2_12C1_R1.fastq.gz,6557073,6201459,94.58
PCR_Cycle_Compare,NO3_12c,1,T1_NO3B2_12C2_R1.fastq.gz,PCR_Cycle_Compare_NO3_12c_R1_T1_NO3B2_12C2_R1.fastq.gz,10537698,9979291,94.7
Nitrogen,NO3,1,T1_NO3_1_1_R1.fastq.gz,Nitrogen_NO3_R1_T1_NO3_1_1_R1.fastq.gz,10349817,9781227,94.51
Nitrogen,NO3,1,T1_NO3_1_2_R1.fastq.gz,Nitrogen_NO3_R1_T1_NO3_1_2_R1.fastq.gz,11099245,10450962,94.16
Nitrogen,NO3,1,T1_NO3_1_3_R1.fastq.gz,Nitrogen_NO3_R1_T1_NO3_1_3_R1.fastq.gz,9373805,8810692,93.99
Nitrogen,NO3,1,T1_NO3_1_4_R1.fastq.gz,Nitrogen_NO3_R1_T1_NO3_1_4_R1.fastq.gz,11305290,10697858,94.63
Nitrogen,NO3,1,T1_NO3_1_5_R1.fastq.gz,Nitrogen_NO3_R1_T1_NO3_1_5_R1.fastq.gz,10943392,10326619,94.36
Nitrogen,NO3,1,T1_NO3_1_6_R1.fastq.gz,Nitrogen_NO3_R1_T1_NO3_1_6_R1.fastq.gz,11024899,10383265,94.18
Nitrogen,NO3,2,T1_NO3_2_1_R1.fastq.gz,Nitrogen_NO3_R2_T1_NO3_2_1_R1.fastq.gz,12358861,11699135,94.66
Nitrogen,NO3,2,T1_NO3_2_2_R1.fastq.gz,Nitrogen_NO3_R2_T1_NO3_2_2_R1.fastq.gz,12266377,11599162,94.56
