Gene_ID,Normalized_ID,Comparison,Delta_Beta,FDR,Significance_Tier,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
Phatr3_J12888,phatr3j12888,t3_NH4_recovery_vs_t2_N_stress,-2.3371475,0.0,Tier 1 (Hard),2850.Phatr12810,7.9599999999999985e-137,398.0,"COG0131@1|root,KOG3143@2759|Eukaryota,2XCJS@2836|Bacillariophyta",2836|Bacillariophyta,E,Imidazoleglycerol-phosphate dehydratase,-,-,4.2.1.19,ko:K01693,"ko00340,ko01100,ko01110,ko01230,map00340,map01100,map01110,map01230",M00026,R03457,RC00932,"ko00000,ko00001,ko00002,ko01000",-,-,-,IGPD
Phatr3_J12888,phatr3j12888,t3_NO3_recovery_vs_t2_N_stress,-2.3371475,0.0,Tier 1 (Hard),2850.Phatr12810,7.9599999999999985e-137,398.0,"COG0131@1|root,KOG3143@2759|Eukaryota,2XCJS@2836|Bacillariophyta",2836|Bacillariophyta,E,Imidazoleglycerol-phosphate dehydratase,-,-,4.2.1.19,ko:K01693,"ko00340,ko01100,ko01110,ko01230,map00340,map01100,map01110,map01230",M00026,R03457,RC00932,"ko00000,ko00001,ko00002,ko01000",-,-,-,IGPD
Phatr3_EG01839,phatr3eg01839,t2_N_stress_vs_t1_NH4_growth,-2.0914225,7.495337683849357e-12,Tier 1 (Hard),2850.Phatr33729,3.48e-33,132.0,"2E2A4@1|root,2S9I4@2759|Eukaryota",2759|Eukaryota,S,Transposase IS4,-,-,-,-,-,-,-,-,-,-,-,-,DDE_Tnp_1_7
Phatr3_J22332,phatr3j22332,t2_N_stress_vs_t1_NH4_growth,-2.0299025000000004,1.4990675367698714e-11,Tier 1 (Hard),2850.Phatr22332,0.0,1117.0,"COG1132@1|root,KOG0058@2759|Eukaryota,2XBHV@2836|Bacillariophyta",2836|Bacillariophyta,Q,ABC transporter transmembrane region,-,-,-,-,-,-,-,-,-,-,-,-,"ABC_membrane,ABC_tran"
Phatr3_J51128,phatr3j51128,t3_NO3_recovery_vs_t1_NH4_growth,-1.93793,2.4172464030414176e-09,Tier 1 (Hard),2850.Phatr29456,9.66e-239,656.0,"COG0057@1|root,KOG0657@2759|Eukaryota,2XF67@2836|Bacillariophyta",2836|Bacillariophyta,G,Glyceraldehyde-3-phosphate dehydrogenase,-,-,1.2.1.12,ko:K00134,"ko00010,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04066,ko05010,map00010,map00710,map01100,map01110,map01120,map01130,map01200,map01230,map04066,map05010","M00001,M00002,M00003,M00165,M00166,M00308,M00552",R01061,RC00149,"ko00000,ko00001,ko00002,ko01000,ko04131,ko04147",-,-,-,"Gp_dh_C,Gp_dh_N"
Phatr3_J11472,phatr3j11472,t3_NH4_recovery_vs_t2_N_stress,-1.86427125,0.0,Tier 1 (Hard),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phatr3_J36115,phatr3j36115,t3_NO3_recovery_vs_t1_NH4_growth,-1.8090375,5.037533175785333e-08,Tier 1 (Hard),2850.Phatr36115,0.0,1059.0,"2E57Y@1|root,2SC27@2759|Eukaryota,2XGEA@2836|Bacillariophyta",2836|Bacillariophyta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"MULE,SWIM"
Phatr3_Jdraft1761,phatr3j1761,t2_N_stress_vs_t1_NH4_growth,-1.7805885,1.4339080678382744e-08,Tier 1 (Hard),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phatr3_J12888,phatr3j12888,t3_NO3_recovery_vs_t1_NH4_growth,-1.77066854175,1.0073109235619881e-07,Tier 1 (Hard),2850.Phatr12810,7.9599999999999985e-137,398.0,"COG0131@1|root,KOG3143@2759|Eukaryota,2XCJS@2836|Bacillariophyta",2836|Bacillariophyta,E,Imidazoleglycerol-phosphate dehydratase,-,-,4.2.1.19,ko:K01693,"ko00340,ko01100,ko01110,ko01230,map00340,map01100,map01110,map01230",M00026,R03457,RC00932,"ko00000,ko00001,ko00002,ko01000",-,-,-,IGPD
Phatr3_EG00280,phatr3eg00280,t2_N_stress_vs_t1_NH4_growth,-1.6123075,6.972959046994529e-07,Tier 1 (Hard),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
