Gene_ID,Normalized_ID,Comparison,Delta_Beta,FDR,Significance_Tier,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,COG_Full
Phatr3_EG01922,phatr3eg01922,t2_N_stress_vs_t1_NH4_growth,-1.011795,0.021955697377101,Tier 2 (Lenient),2850.Phatr49526,5.8499999999999995e-300,864.0,"KOG0724@1|root,KOG1274@1|root,KOG0724@2759|Eukaryota,KOG1274@2759|Eukaryota,2XA9U@2836|Bacillariophyta",2836|Bacillariophyta,K,"Minichromosome loss protein, Mcl1, middle region",-,-,-,ko:K11274,-,-,-,-,"ko00000,ko03036",-,-,-,Mcl1_mid,[K] Transcription
Phatr3_J24935,phatr3j24935,t2_N_stress_vs_t1_NH4_growth,-0.725301275,0.2879238137869933,Tier 3 (Effect Only),2850.Phatr24935,0.0,888.0,"COG0513@1|root,KOG0342@2759|Eukaryota,2XB1J@2836|Bacillariophyta",2836|Bacillariophyta,A,helicase superfamily c-terminal domain,-,-,-,-,-,-,-,-,-,-,-,-,"DEAD,Helicase_C",[A] RNA processing and modification
Phatr3_J48558,phatr3j48558,t2_N_stress_vs_t1_NH4_growth,-0.6706365000000001,0.4049598138313949,Tier 3 (Effect Only),2850.Phatr48558,9.84e-283,777.0,"COG5169@1|root,KOG0627@2759|Eukaryota",2759|Eukaryota,K,sequence-specific DNA binding,-,-,-,ko:K09419,-,-,-,-,"ko00000,ko03000",-,-,-,HSF_DNA-bind,[K] Transcription
Phatr3_J54435,phatr3j54435,t2_N_stress_vs_t1_NH4_growth,-0.65547675,0.4363292066702273,Tier 3 (Effect Only),2850.Phatr54435,6.379999999999997e-159,459.0,"2C415@1|root,2SP0H@2759|Eukaryota,2XFU3@2836|Bacillariophyta",2836|Bacillariophyta,K,PAS domain,-,-,-,-,-,-,-,-,-,-,-,-,HLH,[K] Transcription
Phatr3_J16493,phatr3j16493,t2_N_stress_vs_t1_NH4_growth,-0.5991085,0.5458420819623258,Tier 3 (Effect Only),2850.Phatr16493,5.5e-151,425.0,"KOG3341@1|root,KOG3341@2759|Eukaryota,2XC4T@2836|Bacillariophyta",2836|Bacillariophyta,K,EAP30/Vps36 family,-,-,-,ko:K12188,"ko04144,map04144",M00410,-,-,"ko00000,ko00001,ko00002,ko04131,ko04147",-,-,-,EAP30,[K] Transcription
Phatr3_J14032,phatr3j14032,t2_N_stress_vs_t1_NH4_growth,-0.59392585,0.558640782302452,Tier 3 (Effect Only),2850.Phatr14032,0.0,891.0,"COG0513@1|root,KOG0338@2759|Eukaryota,2XBRF@2836|Bacillariophyta",2836|Bacillariophyta,A,Belongs to the DEAD box helicase family,-,-,3.6.4.13,ko:K13181,-,-,-,-,"ko00000,ko01000,ko03009,ko03041",-,-,-,"DEAD,Helicase_C",[A] RNA processing and modification
Phatr3_J54505,phatr3j54505,t2_N_stress_vs_t1_NH4_growth,-0.56606475,0.6164059356011026,Tier 3 (Effect Only),2850.Phatr54505,0.0,2070.0,"COG5076@1|root,KOG1778@2759|Eukaryota,2XENY@2836|Bacillariophyta",2836|Bacillariophyta,K,"TAZ zinc finger, present in p300 and CBP",-,-,2.3.1.48,ko:K04498,"ko04024,ko04066,ko04068,ko04110,ko04310,ko04330,ko04350,ko04520,ko04630,ko04720,ko04916,ko04919,ko04922,ko05016,ko05152,ko05161,ko05164,ko05165,ko05166,ko05167,ko05168,ko05169,ko05200,ko05203,ko05206,ko05211,ko05215,map04024,map04066,map04068,map04110,map04310,map04330,map04350,map04520,map04630,map04720,map04916,map04919,map04922,map05016,map05152,map05161,map05164,map05165,map05166,map05167,map05168,map05169,map05200,map05203,map05206,map05211,map05215",-,-,-,"ko00000,ko00001,ko01000,ko03000,ko03029,ko03036",-,-,-,"Bromodomain,HAT_KAT11,ZZ,zf-TAZ",[K] Transcription
Phatr3_J8518,phatr3j8518,t2_N_stress_vs_t1_NH4_growth,-0.5347635,0.6886025652956655,Tier 3 (Effect Only),2850.Phatr8518,6.3e-41,137.0,"COG1958@1|root,KOG1783@2759|Eukaryota,2XDMK@2836|Bacillariophyta",2836|Bacillariophyta,A,LSM domain,-,-,-,ko:K12625,"ko03018,ko03040,map03018,map03040","M00354,M00396,M00397",-,-,"ko00000,ko00001,ko00002,ko03019,ko03041",-,-,-,LSM,[A] RNA processing and modification
Phatr3_J42824,phatr3j42824,t2_N_stress_vs_t1_NH4_growth,-0.529491775,0.6917966229930178,Tier 3 (Effect Only),2850.Phatr42824,3.33e-312,853.0,"COG5169@1|root,KOG0627@2759|Eukaryota,2XCBK@2836|Bacillariophyta",2836|Bacillariophyta,K,heat shock factor,-,-,-,-,-,-,-,-,-,-,-,-,HSF_DNA-bind,[K] Transcription
Phatr3_J47861,phatr3j47861,t2_N_stress_vs_t1_NH4_growth,-0.516815,0.7283978355772975,Tier 3 (Effect Only),2850.Phatr47861,0.0,2245.0,"291IK@1|root,2R8EI@2759|Eukaryota,2XEYY@2836|Bacillariophyta",2836|Bacillariophyta,A,Pfam:KH_3,-,-,-,-,-,-,-,-,-,-,-,-,KH_1,[A] RNA processing and modification
