Gene_ID,Normalized_ID,Comparison,Delta_Beta,FDR,Significance_Tier,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,COG_Full
Phatr3_J49487,phatr3j49487,t1_Mn_deplete_vs_t1_Fe_deplete,-1.3237266666666667,0.0180171965610476,Tier 2 (Lenient),2850.Phatr49487,0.0,924.0,"KOG3673@1|root,KOG3673@2759|Eukaryota,2XC6T@2836|Bacillariophyta",2836|Bacillariophyta,A,FtsJ-like methyltransferase,-,-,2.1.1.57,ko:K14589,-,-,R03922,"RC00003,RC00466","ko00000,ko01000,ko03019",-,-,-,FtsJ,[A] RNA processing and modification
Phatr3_J39714,phatr3j39714,t1_Mn_deplete_vs_t1_Fe_deplete,-1.20837,0.0434576522585989,Tier 2 (Lenient),2850.Phatr39714,0.0,1013.0,"COG0513@1|root,KOG0331@2759|Eukaryota,2XF4H@2836|Bacillariophyta",2836|Bacillariophyta,A,helicase superfamily c-terminal domain,-,-,-,-,-,-,-,-,-,-,-,-,"DEAD,Helicase_C",[A] RNA processing and modification
Phatr3_J27821,phatr3j27821,t1_Mn_deplete_vs_t1_Fe_deplete,-1.1576443333333335,0.061825592944249,Tier 3 (Effect Only),2850.Phatr27821,0.0,1458.0,"COG0513@1|root,KOG0331@2759|Eukaryota,2XB1C@2836|Bacillariophyta",2836|Bacillariophyta,A,helicase superfamily c-terminal domain,-,-,3.6.4.13,ko:K16911,"ko01110,map01110",-,-,-,"ko00000,ko01000,ko03009,ko03036",-,-,-,"DEAD,GUCT,Helicase_C",[A] RNA processing and modification
Phatr3_J7969,phatr3j7969,t1_Mn_deplete_vs_t1_Fe_deplete,-1.0622733333333334,0.1139618062091342,Tier 3 (Effect Only),159749.K0TCJ7,7.55e-61,198.0,"COG5076@1|root,KOG1474@2759|Eukaryota,2XG3Q@2836|Bacillariophyta",2836|Bacillariophyta,K,Bromodomain extra-terminal - transcription regulation,-,-,-,-,-,-,-,-,-,-,-,-,"BET,Bromodomain",[K] Transcription
Phatr3_J42100,phatr3j42100,t1_Mn_deplete_vs_t1_Fe_deplete,-0.936494,0.2296119178034459,Tier 3 (Effect Only),2850.Phatr42100,0.0,2526.0,"COG0086@1|root,KOG0261@2759|Eukaryota,2XAIB@2836|Bacillariophyta",2836|Bacillariophyta,K,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates,-,-,2.7.7.6,ko:K03018,"ko00230,ko00240,ko01100,ko03020,ko04623,ko05169,map00230,map00240,map01100,map03020,map04623,map05169",M00181,"R00435,R00441,R00442,R00443",RC02795,"br01611,ko00000,ko00001,ko00002,ko01000,ko03021",-,-,-,"RNA_pol_Rpb1_1,RNA_pol_Rpb1_2,RNA_pol_Rpb1_3,RNA_pol_Rpb1_4,RNA_pol_Rpb1_5",[K] Transcription
Phatr3_J16493,phatr3j16493,t1_Mn_deplete_vs_t1_Fe_deplete,-0.9335333333333334,0.2315832493320535,Tier 3 (Effect Only),2850.Phatr16493,5.5e-151,425.0,"KOG3341@1|root,KOG3341@2759|Eukaryota,2XC4T@2836|Bacillariophyta",2836|Bacillariophyta,K,EAP30/Vps36 family,-,-,-,ko:K12188,"ko04144,map04144",M00410,-,-,"ko00000,ko00001,ko00002,ko04131,ko04147",-,-,-,EAP30,[K] Transcription
Phatr3_J45697,phatr3j45697,t1_Mn_deplete_vs_t1_Fe_deplete,-0.9293933333333334,0.2367670851257254,Tier 3 (Effect Only),2850.Phatr45697,0.0,2074.0,"COG0696@1|root,KOG1914@2759|Eukaryota,2XBCX@2836|Bacillariophyta",2836|Bacillariophyta,A,Suppressor of forked protein (Suf),-,-,-,-,-,-,-,-,-,-,-,-,Suf,[A] RNA processing and modification
Phatr3_Jdraft1730,phatr3j1730,t1_Mn_deplete_vs_t1_Fe_deplete,-0.9082866666666668,0.2622711082058673,Tier 3 (Effect Only),2850.Phatrdraft1730,0.0,1650.0,"KOG2162@1|root,KOG2162@2759|Eukaryota,2XDTY@2836|Bacillariophyta",2836|Bacillariophyta,A,Telomerase activating protein Est1,-,-,-,-,-,-,-,-,-,-,-,-,"EST1,EST1_DNA_bind",[A] RNA processing and modification
Phatr3_J8658,phatr3j8658,t1_Mn_deplete_vs_t1_Fe_deplete,-0.8919513333333334,0.2837043145224086,Tier 3 (Effect Only),2850.Phatr8658,5.61e-138,397.0,"COG5190@1|root,KOG1605@2759|Eukaryota,2XE80@2836|Bacillariophyta",2836|Bacillariophyta,K,catalytic domain of ctd-like phosphatases,-,-,3.1.3.16,ko:K15731,-,-,-,-,"ko00000,ko01000,ko01009,ko03021",-,-,-,NIF,[K] Transcription
Phatr3_J44917,phatr3j44917,t1_Mn_deplete_vs_t1_Fe_deplete,-0.8907066666666664,0.2851046287491712,Tier 3 (Effect Only),2850.Phatr44917,6.82e-306,834.0,"COG5169@1|root,KOG0627@2759|Eukaryota",2759|Eukaryota,K,sequence-specific DNA binding,-,-,-,ko:K09419,-,-,-,-,"ko00000,ko03000",-,-,-,HSF_DNA-bind,[K] Transcription
