Gene_ID,Normalized_ID,Comparison,Delta_Beta,FDR,Significance_Tier,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,COG_Full
Phatr3_EG01922,phatr3eg01922,t3_NO3_recovery_vs_t1_NH4_growth,-1.3164574999999998,0.000740774015473,Tier 2 (Lenient),2850.Phatr49526,5.8499999999999995e-300,864.0,"KOG0724@1|root,KOG1274@1|root,KOG0724@2759|Eukaryota,KOG1274@2759|Eukaryota,2XA9U@2836|Bacillariophyta",2836|Bacillariophyta,K,"Minichromosome loss protein, Mcl1, middle region",-,-,-,ko:K11274,-,-,-,-,"ko00000,ko03036",-,-,-,Mcl1_mid,[K] Transcription
Phatr3_J13119,phatr3j13119,t3_NO3_recovery_vs_t1_NH4_growth,-0.958254375,0.0682825920570451,Tier 3 (Effect Only),2850.Phatr13119,2.35e-173,487.0,"KOG1534@1|root,KOG1534@2759|Eukaryota,2XAQJ@2836|Bacillariophyta",2836|Bacillariophyta,K,Conserved hypothetical ATP binding protein,-,-,-,ko:K06883,-,-,-,-,ko00000,-,-,-,ATP_bind_1,[K] Transcription
Phatr3_J8518,phatr3j8518,t3_NO3_recovery_vs_t1_NH4_growth,-0.820567,0.2108027327088387,Tier 3 (Effect Only),2850.Phatr8518,6.3e-41,137.0,"COG1958@1|root,KOG1783@2759|Eukaryota,2XDMK@2836|Bacillariophyta",2836|Bacillariophyta,A,LSM domain,-,-,-,ko:K12625,"ko03018,ko03040,map03018,map03040","M00354,M00396,M00397",-,-,"ko00000,ko00001,ko00002,ko03019,ko03041",-,-,-,LSM,[A] RNA processing and modification
Phatr3_J24935,phatr3j24935,t3_NO3_recovery_vs_t1_NH4_growth,-0.5900962750000001,0.6630991122933501,Tier 3 (Effect Only),2850.Phatr24935,0.0,888.0,"COG0513@1|root,KOG0342@2759|Eukaryota,2XB1J@2836|Bacillariophyta",2836|Bacillariophyta,A,helicase superfamily c-terminal domain,-,-,-,-,-,-,-,-,-,-,-,-,"DEAD,Helicase_C",[A] RNA processing and modification
Phatr3_J44395,phatr3j44395,t3_NO3_recovery_vs_t1_NH4_growth,-0.5687539750000001,0.6825008897173707,Tier 3 (Effect Only),2850.Phatr44395,7.14e-183,514.0,"2EJAB@1|root,2SPHQ@2759|Eukaryota,2XCW5@2836|Bacillariophyta",2836|Bacillariophyta,A,RNA recognition motif,-,-,-,-,-,-,-,-,-,-,-,-,RRM_1,[A] RNA processing and modification
Phatr3_J47426,phatr3j47426,t3_NO3_recovery_vs_t1_NH4_growth,-0.563290675,0.6894908931720073,Tier 3 (Effect Only),2850.Phatr47426,1.08e-296,813.0,"2C3A9@1|root,2S2TD@2759|Eukaryota,2XBSI@2836|Bacillariophyta",2836|Bacillariophyta,A,Protein of unknown function (DUF760),-,-,-,-,-,-,-,-,-,-,-,-,"DUF760,EF-hand_7",[A] RNA processing and modification
Phatr3_J50326,phatr3j50326,t3_NO3_recovery_vs_t1_NH4_growth,-0.56212375,0.6894908931720073,Tier 3 (Effect Only),2850.Phatr50326,0.0,1885.0,"COG4581@1|root,KOG0948@2759|Eukaryota,2XAYY@2836|Bacillariophyta",2836|Bacillariophyta,A,DSHCT,-,-,3.6.4.13,ko:K12598,"ko03018,map03018",M00393,-,-,"ko00000,ko00001,ko00002,ko01000,ko03009,ko03016,ko03019,ko03041",-,-,-,"DEAD,DSHCT,Helicase_C,rRNA_proc-arch",[A] RNA processing and modification
Phatr3_J12234,phatr3j12234,t3_NO3_recovery_vs_t1_NH4_growth,-0.56062875,0.6913618522354686,Tier 3 (Effect Only),2850.Phatr12234,5.6600000000000005e-308,856.0,"COG5186@1|root,KOG2245@2759|Eukaryota,2XATA@2836|Bacillariophyta",2836|Bacillariophyta,A,Poly(A) polymerase central domain,-,-,2.7.7.19,ko:K14376,"ko03015,map03015",-,-,-,"ko00000,ko00001,ko01000,ko03019",-,-,-,"NTP_transf_2,PAP_RNA-bind,PAP_central",[A] RNA processing and modification
Phatr3_J28482,phatr3j28482,t3_NO3_recovery_vs_t1_NH4_growth,-0.5484622499999999,0.7192099059932686,Tier 3 (Effect Only),2850.Phatr28482,0.0,1171.0,"COG1236@1|root,KOG1137@2759|Eukaryota,2XB5Q@2836|Bacillariophyta",2836|Bacillariophyta,A,Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term,-,-,-,ko:K14403,"ko03015,map03015",-,-,-,"ko00000,ko00001,ko01000,ko03019,ko03021",-,-,-,"Beta-Casp,Lactamase_B_6,RMMBL",[A] RNA processing and modification
Phatr3_J51301,phatr3j51301,t3_NO3_recovery_vs_t1_NH4_growth,-0.5337547500000001,0.7326232401026767,Tier 3 (Effect Only),2850.Phatr51301,5.06e-309,842.0,"COG0513@1|root,KOG0329@2759|Eukaryota,2XAE5@2836|Bacillariophyta",2836|Bacillariophyta,A,"Type III restriction enzyme, res subunit",-,-,3.6.4.13,ko:K12812,"ko03013,ko03015,ko03040,ko05164,map03013,map03015,map03040,map05164","M00406,M00430",-,-,"ko00000,ko00001,ko00002,ko01000,ko03019,ko03041",-,-,-,"DEAD,Helicase_C",[A] RNA processing and modification
Phatr3_J10821,phatr3j10821,t3_NO3_recovery_vs_t1_NH4_growth,-0.5038435,0.7786914923456545,Tier 3 (Effect Only),2850.Phatr10821,1.2e-48,154.0,"COG1644@1|root,KOG3497@2759|Eukaryota,2XH5G@2836|Bacillariophyta",2836|Bacillariophyta,K,RNA polymerases N / 8 kDa subunit,-,-,-,ko:K03007,"ko00230,ko00240,ko01100,ko03020,ko04623,ko05016,ko05169,map00230,map00240,map01100,map03020,map04623,map05016,map05169","M00180,M00181,M00182","R00435,R00441,R00442,R00443",RC02795,"br01611,ko00000,ko00001,ko00002,ko03021,ko03400",-,-,-,RNA_pol_N,[K] Transcription
