Gene_ID,Normalized_ID,Comparison,Delta_Beta,FDR,Significance_Tier,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,COG_Full
Phatr3_J27821,phatr3j27821,t1_Fe_deplete_vs_t1_Fe_replete,-1.3756923333333333,0.2237873739657811,Tier 3 (Effect Only),2850.Phatr27821,0.0,1458.0,"COG0513@1|root,KOG0331@2759|Eukaryota,2XB1C@2836|Bacillariophyta",2836|Bacillariophyta,A,helicase superfamily c-terminal domain,-,-,3.6.4.13,ko:K16911,"ko01110,map01110",-,-,-,"ko00000,ko01000,ko03009,ko03036",-,-,-,"DEAD,GUCT,Helicase_C",[A] RNA processing and modification
Phatr3_J47365,phatr3j47365,t1_Fe_deplete_vs_t1_Fe_replete,-1.324196666666667,0.2658157273189914,Tier 3 (Effect Only),2850.Phatr47365,0.0,1184.0,"COG0513@1|root,KOG0331@2759|Eukaryota,2XCZA@2836|Bacillariophyta",2836|Bacillariophyta,A,helicase superfamily c-terminal domain,-,-,-,-,-,-,-,-,-,-,-,-,"DEAD,Helicase_C",[A] RNA processing and modification
Phatr3_EG02522,phatr3eg02522,t1_Fe_deplete_vs_t1_Fe_replete,-1.3159233333333331,0.2719594574078386,Tier 3 (Effect Only),2850.Phatr47388,0.0,1859.0,"COG5164@1|root,KOG1999@2759|Eukaryota,2XEP1@2836|Bacillariophyta",2836|Bacillariophyta,K,"regulation of DNA-templated transcription, elongation",-,-,-,ko:K15172,-,-,-,-,"ko00000,ko03019,ko03021",-,-,-,Spt5-NGN,[K] Transcription
Phatr3_EG00284,phatr3eg00284,t1_Fe_deplete_vs_t1_Fe_replete,-1.2978233333333336,0.2884518500232527,Tier 3 (Effect Only),159749.K0SEF0,7.8e-74,232.0,"COG5097@1|root,KOG3169@2759|Eukaryota",2759|Eukaryota,K,RNA polymerase II transcription coactivator activity involved in preinitiation complex assembly,MED6,"GO:0000151,GO:0000428,GO:0001128,GO:0003674,GO:0003676,GO:0003677,GO:0003712,GO:0003713,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005667,GO:0005737,GO:0006139,GO:0006351,GO:0006352,GO:0006355,GO:0006357,GO:0006366,GO:0006367,GO:0006464,GO:0006725,GO:0006807,GO:0007275,GO:0007399,GO:0007406,GO:0008134,GO:0008150,GO:0008152,GO:0008285,GO:0009058,GO:0009059,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0010721,GO:0016043,GO:0016070,GO:0016567,GO:0016591,GO:0016592,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019538,GO:0019827,GO:0022008,GO:0022607,GO:0030154,GO:0030880,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031974,GO:0031981,GO:0032446,GO:0032501,GO:0032502,GO:0032774,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0034654,GO:0036211,GO:0042127,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044451,GO:0044464,GO:0044798,GO:0045595,GO:0045596,GO:0045893,GO:0045935,GO:0045944,GO:0046483,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0050767,GO:0050768,GO:0050789,GO:0050793,GO:0050794,GO:0051093,GO:0051123,GO:0051171,GO:0051173,GO:0051239,GO:0051241,GO:0051252,GO:0051254,GO:0051960,GO:0051961,GO:0055029,GO:0060255,GO:0060284,GO:0061695,GO:0065003,GO:0065004,GO:0065007,GO:0070013,GO:0070647,GO:0070847,GO:0070897,GO:0071704,GO:0071824,GO:0071840,GO:0072091,GO:0080090,GO:0090304,GO:0090575,GO:0097159,GO:0097659,GO:0098727,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901576,GO:1902494,GO:1902680,GO:1902692,GO:1903506,GO:1903508,GO:1990234,GO:2000026,GO:2000112,GO:2000177,GO:2000178,GO:2000647,GO:2001141",3.6.3.1,"ko:K01530,ko:K15128",-,-,-,-,"ko00000,ko01000,ko03021",-,-,-,Med6,[K] Transcription
Phatr3_J50292,phatr3j50292,t1_Fe_deplete_vs_t1_Fe_replete,-1.254986666666667,0.3215057227084775,Tier 3 (Effect Only),2850.Phatr50292,0.0,1006.0,"28MKM@1|root,2QU4C@2759|Eukaryota,2XBE4@2836|Bacillariophyta",2836|Bacillariophyta,A,Galactoside-binding lectin,-,-,-,-,-,-,-,-,-,-,-,-,"Gal-bind_lectin,RRM_1",[A] RNA processing and modification
Phatr3_J38655,phatr3j38655,t1_Fe_deplete_vs_t1_Fe_replete,-1.2058346666666666,0.3706846461818943,Tier 3 (Effect Only),2850.Phatr38655,3.21e-175,495.0,"COG0566@1|root,KOG0838@2759|Eukaryota,2XCKC@2836|Bacillariophyta",2836|Bacillariophyta,A,SpoU rRNA Methylase family,-,-,-,-,-,-,-,-,-,-,-,-,SpoU_methylase,[A] RNA processing and modification
Phatr3_J51604,phatr3j51604,t1_Fe_deplete_vs_t1_Fe_replete,-1.158872,0.4205296054880818,Tier 3 (Effect Only),2850.Phatr51604,0.0,1010.0,"COG0553@1|root,KOG0385@2759|Eukaryota,2XAHR@2836|Bacillariophyta",2836|Bacillariophyta,A,Class II histone deacetylase complex subunits 2 and 3,-,-,-,-,-,-,-,-,-,-,-,-,"Helicase_C,SNF2_N",[A] RNA processing and modification
Phatr3_J37144,phatr3j37144,t1_Fe_deplete_vs_t1_Fe_replete,-1.091705,0.4895793537442651,Tier 3 (Effect Only),2850.Phatr37144,4.91e-71,214.0,"KOG2712@1|root,KOG2712@2759|Eukaryota,2XDT6@2836|Bacillariophyta",2836|Bacillariophyta,K,Transcriptional Coactivator p15 (PC4),-,-,-,-,-,-,-,-,-,-,-,-,PC4,[K] Transcription
Phatr3_J45206,phatr3j45206,t1_Fe_deplete_vs_t1_Fe_replete,-1.0887666666666669,0.4935573490186876,Tier 3 (Effect Only),2850.Phatr45206,0.0,1036.0,"COG5169@1|root,KOG0627@2759|Eukaryota,2XHDN@2836|Bacillariophyta",2836|Bacillariophyta,K,heat shock factor,-,-,-,-,-,-,-,-,-,-,-,-,HSF_DNA-bind,[K] Transcription
Phatr3_J231,phatr3j231,t1_Fe_deplete_vs_t1_Fe_replete,-1.0586000000000002,0.5243975528596088,Tier 3 (Effect Only),2850.Phatr231,0.0,1806.0,"COG0553@1|root,KOG0385@2759|Eukaryota,2XB1X@2836|Bacillariophyta",2836|Bacillariophyta,K,Class II histone deacetylase complex subunits 2 and 3,-,-,-,-,-,-,-,-,-,-,-,-,"Helicase_C,SLIDE,SNF2_N",[K] Transcription
