strPHAtr_Phatr3_EG00032.p1    GO:0004672,GO:0005524,GO:0006468
strPHAtr_Phatr3_EG00041.p1    GO:0042732,GO:0048040,GO:0070403
strPHAtr_Phatr3_EG00042.p1    GO:0008146,GO:0016021
strPHAtr_Phatr3_EG00045.p1    GO:0005515,GO:0006396
strPHAtr_Phatr3_EG00052.p1    GO:0015074
strPHAtr_Phatr3_EG00081.p1    GO:0006307,GO:0035515,GO:0035516,GO:0035552,GO:0035553,GO:0040014,GO:0042245
strPHAtr_Phatr3_EG00092.p1    GO:0003872,GO:0006096
strPHAtr_Phatr3_EG00112.p1    GO:0005049,GO:0051169
strPHAtr_Phatr3_EG00115.p1    GO:0006486,GO:0016020,GO:0016758
strPHAtr_Phatr3_EG00117.p1    GO:0008270
strPHAtr_Phatr3_EG00123.p1    GO:0000160
strPHAtr_Phatr3_EG00135.p1    GO:0009228,GO:0051536
strPHAtr_Phatr3_EG00136.p1    GO:0016504,GO:0070577,GO:0070628
strPHAtr_Phatr3_EG00140.p1    GO:0003677,GO:0003899,GO:0006351,GO:0008270
strPHAtr_Phatr3_EG00145.p1    GO:0016491
strPHAtr_Phatr3_EG00150.p1    GO:0004146,GO:0006545,GO:0046654,GO:0050661
strPHAtr_Phatr3_EG00153.p1    GO:0006914
strPHAtr_Phatr3_EG00157.p1    GO:0003723,GO:0005515
strPHAtr_Phatr3_EG00161.p1    GO:0005515
strPHAtr_Phatr3_EG00162.p1    GO:0006355
strPHAtr_Phatr3_EG00165.p1    GO:0006511,GO:0031464
strPHAtr_Phatr3_EG00171.p1    GO:0005509
strPHAtr_Phatr3_EG00172.p1    GO:0005515,GO:0031267
strPHAtr_Phatr3_EG00175.p1    GO:0005515,GO:0031267
strPHAtr_Phatr3_EG00183.p1    GO:0005515,GO:0031267
strPHAtr_Phatr3_EG00193.p1    GO:0005509
strPHAtr_Phatr3_EG00208.p1    GO:0006486,GO:0016757
strPHAtr_Phatr3_EG00212.p1    GO:0003700,GO:0006355,GO:0043565
strPHAtr_Phatr3_EG00215.p1    GO:0004185,GO:0006508
strPHAtr_Phatr3_EG00246.p1    GO:0016787
strPHAtr_Phatr3_EG00261.p1    GO:0003677,GO:0003678,GO:0005524,GO:0016787
strPHAtr_Phatr3_EG00262.p1    GO:0005515,GO:0042800,GO:0051568
strPHAtr_Phatr3_EG00272.p1    GO:0005524
strPHAtr_Phatr3_EG00274.p1    GO:0003743,GO:0005515,GO:0005737,GO:0005852,GO:0008237,GO:0070122
strPHAtr_Phatr3_EG00282.p1    GO:0003723
strPHAtr_Phatr3_EG00284.p1    GO:0003712,GO:0006357,GO:0016592
strPHAtr_Phatr3_EG00286.p1    GO:0003677,GO:0005524,GO:0006281,GO:0008094
strPHAtr_Phatr3_EG00287.p1    GO:0016020
strPHAtr_Phatr3_EG00296.p1    GO:0008080
strPHAtr_Phatr3_EG00322.p1    GO:0003700,GO:0006355,GO:0043565
strPHAtr_Phatr3_EG00329.p1    GO:0003676,GO:0016791
strPHAtr_Phatr3_EG00333.p1    GO:0016539
strPHAtr_Phatr3_EG00334.p1    GO:0032456,GO:0042147,GO:1990745
strPHAtr_Phatr3_EG00335.p1    GO:0005525
strPHAtr_Phatr3_EG00336.p1    GO:0008168
strPHAtr_Phatr3_EG00356.p1    GO:0008146,GO:0016021
strPHAtr_Phatr3_EG00359.p1    GO:0008168
strPHAtr_Phatr3_EG00369.p1    GO:0016747
strPHAtr_Phatr3_EG00378.p1    GO:0016791
strPHAtr_Phatr3_EG00391.p1    GO:0004386
strPHAtr_Phatr3_EG00407.p1    GO:0016021,GO:0016757
strPHAtr_Phatr3_EG00410.p1    GO:0000184,GO:0003723,GO:0003724,GO:0004386,GO:0005524,GO:0005737,GO:0008270
strPHAtr_Phatr3_EG00416.p1    GO:0009765,GO:0016020
strPHAtr_Phatr3_EG00424.p1    GO:0005515
strPHAtr_Phatr3_EG00435.p1    GO:0003824,GO:0009058
strPHAtr_Phatr3_EG00447.p1    GO:0003677,GO:0006351
strPHAtr_Phatr3_EG00465.p1    GO:0008270
strPHAtr_Phatr3_EG00517.p1    GO:0008168
strPHAtr_Phatr3_EG00536.p1    GO:0004114,GO:0007165
strPHAtr_Phatr3_EG00539.p1    GO:0000287,GO:0006281,GO:0006310
strPHAtr_Phatr3_EG00544.p1    GO:0005515
strPHAtr_Phatr3_EG00552.p1    GO:0005525
strPHAtr_Phatr3_EG00556.p1    GO:0002098,GO:0005515,GO:0033588
strPHAtr_Phatr3_EG00559.p1    GO:0004553,GO:0005975
strPHAtr_Phatr3_EG00571.p1    GO:0005524,GO:0005777,GO:0007031
strPHAtr_Phatr3_EG00578.p1    GO:0005515
strPHAtr_Phatr3_EG00581.p1    GO:0016757
