Gene_ID,Normalized_ID,Comparison,Delta_Beta,FDR,Significance_Tier,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,COG_Full
Phatr3_J13119,phatr3j13119,t3_NH4_recovery_vs_t2_N_stress,-0.8499555,0.0218409388276607,Tier 3 (Effect Only),2850.Phatr13119,2.35e-173,487.0,"KOG1534@1|root,KOG1534@2759|Eukaryota,2XAQJ@2836|Bacillariophyta",2836|Bacillariophyta,K,Conserved hypothetical ATP binding protein,-,-,-,ko:K06883,-,-,-,-,ko00000,-,-,-,ATP_bind_1,[K] Transcription
Phatr3_EG01922,phatr3eg01922,t3_NH4_recovery_vs_t2_N_stress,-0.7272625,0.0926792988494096,Tier 3 (Effect Only),2850.Phatr49526,5.8499999999999995e-300,864.0,"KOG0724@1|root,KOG1274@1|root,KOG0724@2759|Eukaryota,KOG1274@2759|Eukaryota,2XA9U@2836|Bacillariophyta",2836|Bacillariophyta,K,"Minichromosome loss protein, Mcl1, middle region",-,-,-,ko:K11274,-,-,-,-,"ko00000,ko03036",-,-,-,Mcl1_mid,[K] Transcription
Phatr3_EG02570,phatr3eg02570,t3_NH4_recovery_vs_t2_N_stress,-0.6358415,0.2145541253493819,Tier 3 (Effect Only),2850.Phatr49525,0.0,964.0,"KOG0724@1|root,KOG0724@2759|Eukaryota,2XD95@2836|Bacillariophyta",2836|Bacillariophyta,K,"SANT  SWI3, ADA2, N-CoR and TFIIIB'' DNA-binding domains",-,-,-,-,-,-,-,-,-,-,-,-,Myb_DNA-binding,[K] Transcription
Phatr3_J9649,phatr3j9649,t3_NH4_recovery_vs_t2_N_stress,-0.617848,0.2612358741336457,Tier 3 (Effect Only),2850.Phatr9649,3.88e-65,198.0,"KOG3473@1|root,KOG3473@2759|Eukaryota,2XDNF@2836|Bacillariophyta",2836|Bacillariophyta,K,"Skp1 family, tetramerisation domain",-,-,-,ko:K03872,"ko04066,ko04120,ko05200,ko05211,map04066,map04120,map05200,map05211","M00383,M00388",-,-,"ko00000,ko00001,ko00002,ko03400,ko04121",-,-,-,Skp1_POZ,[K] Transcription
Phatr3_J30960,phatr3j30960,t3_NH4_recovery_vs_t2_N_stress,-0.55226825,0.4485624162995457,Tier 3 (Effect Only),2850.Phatr30960,5.35e-182,511.0,"COG5129@1|root,KOG3064@2759|Eukaryota,2XB27@2836|Bacillariophyta",2836|Bacillariophyta,A,Ribosomal L28e protein family,-,-,-,ko:K14831,-,-,-,-,"ko00000,ko03009",-,-,-,"Mak16,Ribosomal_L28e",[A] RNA processing and modification
Phatr3_J12737,phatr3j12737,t3_NH4_recovery_vs_t2_N_stress,-0.5328795749999999,0.474401935508045,Tier 3 (Effect Only),2850.Phatr12737,2.87e-44,147.0,"COG1278@1|root,KOG3070@2759|Eukaryota",2759|Eukaryota,K,DNA binding,-,-,3.6.4.13,"ko:K09250,ko:K13982",-,-,-,-,"ko00000,ko01000,ko03000,ko03036",-,-,-,"CSD,DEAD,Helicase_C,zf-CCHC,zf-CCHC_3",[K] Transcription
Phatr3_J44395,phatr3j44395,t3_NH4_recovery_vs_t2_N_stress,-0.53276925,0.474401935508045,Tier 3 (Effect Only),2850.Phatr44395,7.14e-183,514.0,"2EJAB@1|root,2SPHQ@2759|Eukaryota,2XCW5@2836|Bacillariophyta",2836|Bacillariophyta,A,RNA recognition motif,-,-,-,-,-,-,-,-,-,-,-,-,RRM_1,[A] RNA processing and modification
Phatr3_J47426,phatr3j47426,t3_NH4_recovery_vs_t2_N_stress,-0.5260681,0.5052573833018773,Tier 3 (Effect Only),2850.Phatr47426,1.08e-296,813.0,"2C3A9@1|root,2S2TD@2759|Eukaryota,2XBSI@2836|Bacillariophyta",2836|Bacillariophyta,A,Protein of unknown function (DUF760),-,-,-,-,-,-,-,-,-,-,-,-,"DUF760,EF-hand_7",[A] RNA processing and modification
Phatr3_J14908,phatr3j14908,t3_NH4_recovery_vs_t2_N_stress,-0.5157200750000001,0.5374542654745458,Tier 3 (Effect Only),2850.Phatr14908,3.68e-206,581.0,"COG0568@1|root,2SJXZ@2759|Eukaryota,2XBXS@2836|Bacillariophyta",2836|Bacillariophyta,K,"Sigma-70, region 4",-,-,-,-,-,-,-,-,-,-,-,-,"Sigma70_r2,Sigma70_r4",[K] Transcription
Phatr3_J46600,phatr3j46600,t3_NH4_recovery_vs_t2_N_stress,-0.511773,0.5474456658009912,Tier 3 (Effect Only),2850.Phatr46600,0.0,892.0,"COG5157@1|root,KOG3786@2759|Eukaryota,2XDQK@2836|Bacillariophyta",2836|Bacillariophyta,K,recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex,-,-,-,ko:K15175,-,-,-,-,"ko00000,ko03021",-,-,-,CDC73_C,[K] Transcription
