Gene_ID,Normalized_ID,Comparison,Delta_Beta,FDR,Significance_Tier,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,COG_Full
Phatr3_J49387,phatr3j49387,t1_Fe_deplete_vs_t1_Mn_deplete,-3.0884466666666666,1.070762526264194e-12,Tier 1 (Hard),2850.Phatr49387,3.09e-233,642.0,"KOG0118@1|root,KOG0118@2759|Eukaryota,2XFA9@2836|Bacillariophyta",2836|Bacillariophyta,A,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",-,-,-,ko:K11294,"ko05130,map05130",-,-,-,"ko00000,ko00001,ko03009,ko03036",-,-,-,RRM_1,[A] RNA processing and modification
Phatr3_J47041,phatr3j47041,t1_Fe_deplete_vs_t1_Mn_deplete,-2.860073333333333,6.069141485672465e-11,Tier 1 (Hard),2850.Phatr47041,1.51e-128,367.0,"29NS1@1|root,2RW34@2759|Eukaryota,2XDC3@2836|Bacillariophyta",2836|Bacillariophyta,K,Histone-like transcription factor (CBF/NF-Y) and archaeal histone,-,-,-,-,-,-,-,-,-,-,-,-,CBFD_NFYB_HMF,[K] Transcription
Phatr3_J43364,phatr3j43364,t1_Fe_deplete_vs_t1_Mn_deplete,-2.8182266666666664,1.2048061314039335e-10,Tier 1 (Hard),2850.Phatr43364,3.8e-205,572.0,"COG5169@1|root,KOG0627@2759|Eukaryota",2759|Eukaryota,K,sequence-specific DNA binding,-,-,3.4.11.1,ko:K01255,"ko00480,ko01100,map00480,map01100",-,"R00899,R04951","RC00096,RC00141","ko00000,ko00001,ko01000,ko01002",-,-,-,HSF_DNA-bind,[K] Transcription
Phatr3_J12737,phatr3j12737,t1_Fe_deplete_vs_t1_Mn_deplete,-2.162577,2.753268134962165e-06,Tier 1 (Hard),2850.Phatr12737,2.87e-44,147.0,"COG1278@1|root,KOG3070@2759|Eukaryota",2759|Eukaryota,K,DNA binding,-,-,3.6.4.13,"ko:K09250,ko:K13982",-,-,-,-,"ko00000,ko01000,ko03000,ko03036",-,-,-,"CSD,DEAD,Helicase_C,zf-CCHC,zf-CCHC_3",[K] Transcription
Phatr3_J49557,phatr3j49557,t1_Fe_deplete_vs_t1_Mn_deplete,-1.9056323333333327,6.419022859488953e-05,Tier 1 (Hard),2850.Phatr49557,2.28e-309,840.0,"COG5169@1|root,KOG0627@2759|Eukaryota",2759|Eukaryota,K,sequence-specific DNA binding,-,-,-,ko:K09419,-,-,-,-,"ko00000,ko03000",-,-,-,HSF_DNA-bind,[K] Transcription
Phatr3_J39329,phatr3j39329,t1_Fe_deplete_vs_t1_Mn_deplete,-1.8810310000000003,8.400153066984612e-05,Tier 1 (Hard),2850.Phatr39329,1.45e-271,743.0,"KOG2075@1|root,KOG2075@2759|Eukaryota",2759|Eukaryota,K,ubiquitin protein ligase binding,-,-,-,ko:K10477,-,-,-,-,"ko00000,ko04121",-,-,-,BTB,[K] Transcription
Phatr3_J10024,phatr3j10024,t1_Fe_deplete_vs_t1_Mn_deplete,-1.838571,0.0001348017573108,Tier 1 (Hard),2850.Phatr10024,1.06e-164,466.0,"KOG1365@1|root,KOG1365@2759|Eukaryota,2XFY6@2836|Bacillariophyta",2836|Bacillariophyta,A,Pfam:RRM_6,-,-,-,ko:K12898,-,-,-,-,"ko00000,ko03041",-,-,-,RRM_1,[A] RNA processing and modification
Phatr3_J50377,phatr3j50377,t1_Fe_deplete_vs_t1_Mn_deplete,-1.8078066666666663,0.0001877419166,Tier 1 (Hard),2850.Phatr50377,0.0,1414.0,"COG1405@1|root,KOG1597@2759|Eukaryota,2XEA4@2836|Bacillariophyta",2836|Bacillariophyta,K,TFIIB zinc-binding,-,-,-,-,-,-,-,-,-,-,-,-,TF_Zn_Ribbon,[K] Transcription
Phatr3_J13360,phatr3j13360,t1_Fe_deplete_vs_t1_Mn_deplete,-1.7970956666666666,0.0002087391305993,Tier 1 (Hard),2850.Phatr13360,1.07e-156,440.0,"KOG4206@1|root,KOG4206@2759|Eukaryota,2XCW7@2836|Bacillariophyta",2836|Bacillariophyta,A,Pfam:RRM_6,-,-,-,ko:K11094,"ko03040,map03040",M00352,-,-,"ko00000,ko00001,ko00002,ko03041",-,-,-,RRM_1,[A] RNA processing and modification
Phatr3_J44334,phatr3j44334,t1_Fe_deplete_vs_t1_Mn_deplete,-1.7159300000000002,0.0004935029291505,Tier 1 (Hard),2850.Phatr44334,0.0,1009.0,"COG0564@1|root,KOG1919@2759|Eukaryota,2XB6Y@2836|Bacillariophyta",2836|Bacillariophyta,A,RNA pseudouridylate synthase,-,-,-,-,-,-,-,-,-,-,-,-,PseudoU_synth_2,[A] RNA processing and modification
Phatr3_J38294,phatr3j38294,t1_Fe_deplete_vs_t1_Mn_deplete,-1.673796,0.000759070555291,Tier 1 (Hard),2850.Phatr38294,8.53e-281,767.0,"COG5169@1|root,KOG0627@2759|Eukaryota",2759|Eukaryota,K,sequence-specific DNA binding,-,-,3.4.11.1,ko:K01255,"ko00480,ko01100,map00480,map01100",-,"R00899,R04951","RC00096,RC00141","ko00000,ko00001,ko01000,ko01002",-,-,-,HSF_DNA-bind,[K] Transcription
Phatr3_J3171,phatr3j3171,t1_Fe_deplete_vs_t1_Mn_deplete,-1.5723666666666667,0.002005012843569,Tier 1 (Hard),2850.Phatr3171,2.31e-156,447.0,"COG5190@1|root,KOG2832@2759|Eukaryota,2XCSV@2836|Bacillariophyta",2836|Bacillariophyta,K,catalytic domain of ctd-like phosphatases,-,-,-,ko:K17496,-,-,-,-,"ko00000,ko02000,ko03029",3.A.8.1,-,-,NIF,[K] Transcription
Phatr3_J32507,phatr3j32507,t1_Fe_deplete_vs_t1_Mn_deplete,-1.5273674999999998,0.0030852393866958,Tier 1 (Hard),2850.Phatr32507,6.3900000000000005e-161,454.0,"2C7FU@1|root,2RRAS@2759|Eukaryota,2XCKR@2836|Bacillariophyta",2836|Bacillariophyta,A,Zinc-finger double-stranded RNA-binding,-,-,-,-,-,-,-,-,-,-,-,-,zf-C2H2_jaz,[A] RNA processing and modification
Phatr3_J43439,phatr3j43439,t1_Fe_deplete_vs_t1_Mn_deplete,-1.4537103333333334,0.006159834922984,Tier 2 (Lenient),2850.Phatr43439,1.46e-295,805.0,"COG5190@1|root,KOG1605@2759|Eukaryota,2XG5D@2836|Bacillariophyta",2836|Bacillariophyta,K,NLI interacting factor-like phosphatase,-,-,3.1.3.16,ko:K17618,-,-,-,-,"ko00000,ko01000,ko01009",-,-,-,NIF,[K] Transcription
Phatr3_J49469,phatr3j49469,t1_Fe_deplete_vs_t1_Mn_deplete,-1.4528166666666669,0.0061765129976187,Tier 2 (Lenient),2850.Phatr49469,0.0,896.0,"COG5182@1|root,KOG2330@2759|Eukaryota,2XB4Y@2836|Bacillariophyta",2836|Bacillariophyta,A,proline-rich domain in spliceosome associated proteins,-,-,-,ko:K12829,"ko03040,map03040",M00352,-,-,"ko00000,ko00001,ko00002,ko03041",-,-,-,"DUF382,PSP",[A] RNA processing and modification
Phatr3_J11703,phatr3j11703,t1_Fe_deplete_vs_t1_Mn_deplete,-1.446926333333333,0.0064382170192398,Tier 2 (Lenient),2850.Phatr11703,0.0,1338.0,"KOG0319@1|root,KOG0319@2759|Eukaryota,2XA90@2836|Bacillariophyta",2836|Bacillariophyta,A,Utp13 specific WD40 associated domain,-,-,-,ko:K14555,"ko03008,map03008",-,-,-,"ko00000,ko00001,ko03009",-,-,-,"Utp13,WD40",[A] RNA processing and modification
Phatr3_J45391,phatr3j45391,t1_Fe_deplete_vs_t1_Mn_deplete,-1.4275600000000002,0.0076097298463899,Tier 2 (Lenient),2850.Phatr45391,1.53e-238,658.0,"COG5169@1|root,KOG0627@2759|Eukaryota",2759|Eukaryota,K,sequence-specific DNA binding,-,-,-,ko:K09419,-,-,-,-,"ko00000,ko03000",-,-,-,HSF_DNA-bind,[K] Transcription
Phatr3_J5060,phatr3j5060,t1_Fe_deplete_vs_t1_Mn_deplete,-1.390286666666667,0.0106505971410667,Tier 2 (Lenient),2850.Phatr5060,3.6799999999999996e-126,365.0,"KOG2829@1|root,KOG2829@2759|Eukaryota,2XGF8@2836|Bacillariophyta",2836|Bacillariophyta,K,Transcription factor DP,-,-,-,-,-,-,-,-,-,-,-,-,"DP,E2F_TDP",[K] Transcription
Phatr3_J14599,phatr3j14599,t1_Fe_deplete_vs_t1_Mn_deplete,-1.3871193333333334,0.0109264697656245,Tier 2 (Lenient),2850.Phatr14599,2.95e-217,608.0,"COG0568@1|root,2SMZ5@2759|Eukaryota,2XG32@2836|Bacillariophyta",2850.Phatr14599|-,K,Sigma-70 region 3,-,-,-,-,-,-,-,-,-,-,-,-,-,[K] Transcription
Phatr3_J11994,phatr3j11994,t1_Fe_deplete_vs_t1_Mn_deplete,-1.3342819999999995,0.0166813320801461,Tier 2 (Lenient),2850.Phatr11994,5.76e-151,427.0,"COG5641@1|root,KOG1601@2759|Eukaryota,2XH5E@2836|Bacillariophyta",2836|Bacillariophyta,K,cheY-homologous receiver domain,-,-,-,-,-,-,-,-,-,-,-,-,"GerE,Response_reg",[K] Transcription
